,Unnamed: 0,Player,Nation,Pos,Squad,Competition_Name,Age,Born,Matches_Played,Yellow_Cards,Red_Cards,Second_Yellow_Card,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Interceptions,Tackles_Won,Penalty_Kicks_Won,Penalty_Kicks_Conceded,Own_Goals,Ball_Recoveries,Aerials_Won,Aerials_Lost,Percentage_of_Aerials_Won
899,1080,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,es La Liga,31,1991,31.8,2,0,0,22,41,11,131,24,34,0.0,0.0,0,150.0,28.0,34.0,45.2
900,1081,Vincenzo Grifo,it ITA,"MF,FW",Freiburg,de Bundesliga,29,1993,26.8,2,0,0,7,31,5,135,19,16,1.0,0.0,0,155.0,16.0,18.0,47.1
901,1083,Christian Groß,de GER,MF,Werder Bremen,de Bundesliga,33,1989,21.0,4,0,0,53,14,1,6,23,25,0.0,0.0,0,155.0,26.0,30.0,46.4
902,1084,Pascal Groß,de GER,"MF,DF",Brighton,eng Premier League,31,1991,36.0,6,0,0,35,18,10,224,13,38,0.0,1.0,1,140.0,10.0,36.0,21.7
903,1085,Brajan Gruda,de GER,MF,Mainz 05,de Bundesliga,18,2004,0.0,0,0,0,1,0,0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0
904,1086,Ilia Gruev,bg BUL,MF,Werder Bremen,de Bundesliga,22,2000,17.6,2,0,0,27,12,0,11,22,27,0.0,0.0,0,117.0,16.0,21.0,43.2
905,1087,Carlos Gruezo,ec ECU,MF,Augsburg,de Bundesliga,27,1995,10.7,5,0,0,12,9,0,2,10,12,0.0,1.0,0,71.0,9.0,13.0,40.9
906,1089,Andrés Guardado,mx MEX,MF,Betis,es La Liga,35,1986,15.3,7,0,0,16,10,0,9,23,25,0.0,0.0,0,121.0,17.0,29.0,37.0
907,1092,Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,es La Liga,30,1991,30.9,8,0,0,26,21,1,3,34,33,0.0,0.0,0,119.0,47.0,23.0,67.1
908,1093,Gabriel Gudmundsson,se SWE,"DF,FW",Lille,fr Ligue 1,23,1999,9.3,3,0,0,17,21,3,33,10,11,1.0,0.0,0,46.0,12.0,7.0,63.2
909,1094,Gonçalo Guedes,pt POR,"FW,MF",Wolves,eng Premier League,25,1996,7.9,1,0,0,11,24,5,27,1,6,0.0,0.0,0,34.0,7.0,11.0,38.9
910,1095,Axel Gueguin,fr FRA,"FW,MF",Montpellier,fr Ligue 1,17,2005,0.3,0,0,0,0,0,0,1,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0
911,1096,Marc Guéhi,eng ENG,DF,Crystal Palace,eng Premier League,22,2000,37.0,8,0,0,24,40,0,0,45,27,0.0,0.0,1,241.0,54.0,43.0,55.7
912,1097,Mattéo Guendouzi,fr FRA,MF,Marseille,fr Ligue 1,23,1999,23.4,3,0,0,25,37,1,24,21,18,0.0,0.0,1,147.0,23.0,29.0,44.2
913,1098,Javier Guerra,es ESP,MF,Valencia,es La Liga,19,2003,6.7,0,0,0,13,7,0,8,11,13,0.0,0.0,0,43.0,6.0,8.0,42.9
914,1099,Raphaël Guerreiro,pt POR,"DF,MF",Dortmund,de Bundesliga,28,1993,25.4,4,0,0,8,10,2,114,36,20,1.0,0.0,0,177.0,5.0,12.0,29.4
915,1100,Axel Guessand,fr FRA,DF,Udinese,it Serie A,17,2004,0.9,0,0,0,1,0,0,0,2,1,0.0,0.0,0,1.0,1.0,2.0,33.3
916,1101,Evann Guessand,fr FRA,"FW,MF",Nantes,fr Ligue 1,21,2001,14.0,2,0,0,31,21,6,31,9,16,0.0,0.0,0,72.0,28.0,27.0,50.9
917,1102,Ander Guevara,es ESP,MF,Real Sociedad,es La Liga,25,1997,2.5,2,0,0,5,3,0,0,2,2,0.0,0.0,0,19.0,3.0,2.0,60.0
918,1105,Josuha Guilavogui,fr FRA,"DF,MF",Wolfsburg,de Bundesliga,31,1990,13.1,4,0,0,29,8,2,2,23,11,0.0,1.0,1,95.0,43.0,32.0,57.3
919,1106,Frederic Guilbert,fr FRA,DF,Strasbourg,fr Ligue 1,27,1994,16.2,3,0,0,28,19,0,55,43,29,0.0,1.0,0,109.0,28.0,23.0,54.9
920,1107,Hugo Guillamón,es ESP,MF,Valencia,es La Liga,22,2000,18.1,5,0,0,35,34,0,32,19,12,0.0,2.0,1,96.0,20.0,20.0,50.0
921,1108,Bruno Guimarães,br BRA,MF,Newcastle Utd,eng Premier League,24,1997,30.3,7,0,0,45,83,1,22,36,40,0.0,0.0,0,233.0,19.0,13.0,59.4
922,1111,Rafik Guitane,fr FRA,FW,Reims,fr Ligue 1,23,1999,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0
923,1113,Manuel Gulde,de GER,DF,Freiburg,de Bundesliga,31,1991,7.1,2,0,0,9,2,0,4,19,8,0.0,0.0,0,37.0,22.0,20.0,52.4
924,1114,Gerard Gumbau,es ESP,MF,Elche,es La Liga,27,1994,30.4,11,0,0,51,21,2,164,28,25,0.0,0.0,0,165.0,22.0,30.0,42.3
925,1115,Robert Gumny,pl POL,DF,Augsburg,de Bundesliga,24,1998,22.4,5,1,0,32,18,1,27,26,24,0.0,0.0,0,107.0,45.0,44.0,50.6
926,1116,İlkay Gündoğan,de GER,MF,Manchester City,eng Premier League,31,1990,26.1,0,0,0,23,25,6,30,20,18,2.0,0.0,0,155.0,19.0,12.0,61.3
927,1117,Christian Günter,de GER,"DF,MF",Freiburg,de Bundesliga,29,1993,30.5,5,0,0,32,14,6,198,16,21,0.0,1.0,0,121.0,13.0,29.0,31.0
928,1120,Gorka Guruzeta,es ESP,FW,Athletic Club,es La Liga,25,1996,15.8,2,0,0,28,14,16,4,4,20,0.0,0.0,0,49.0,29.0,47.0,38.2
929,1121,Malo Gusto,fr FRA,DF,Lyon,fr Ligue 1,19,2003,17.7,1,0,0,20,24,2,116,28,26,0.0,0.0,1,139.0,8.0,15.0,34.8
930,1122,Raúl Guti,es ESP,MF,Elche,es La Liga,25,1996,12.4,1,0,0,8,22,1,9,8,12,0.0,0.0,0,64.0,6.0,10.0,37.5
931,1123,Miguel Gutiérrez,es ESP,DF,Girona,es La Liga,21,2001,26.6,6,0,0,23,24,3,104,18,23,0.0,0.0,0,157.0,9.0,16.0,36.0
932,1124,Joško Gvardiol,hr CRO,DF,RB Leipzig,de Bundesliga,20,2002,24.1,2,0,0,20,13,1,4,34,17,0.0,1.0,1,167.0,43.0,34.0,55.8
933,1125,Darko Gyabi,eng ENG,FW,Leeds United,eng Premier League,18,2004,0.1,0,0,0,0,1,0,0,0,2,0.0,0.0,0,3.0,0.0,0.0,0.0
934,1126,Emmanuel Gyasi,gh GHA,"FW,DF",Spezia,it Serie A,28,1994,31.2,10,0,0,47,37,23,22,8,15,0.0,0.0,0,120.0,18.0,53.0,25.4
935,1127,Norbert Gyömbér,sk SVK,DF,Salernitana,it Serie A,30,1992,19.3,5,0,0,22,7,0,5,35,23,0.0,1.0,0,106.0,45.0,25.0,64.3
936,1128,Christian Gytkjær,dk DEN,"FW,MF",Monza,it Serie A,32,1990,6.2,0,0,0,11,6,10,1,0,2,0.0,1.0,0,9.0,10.0,20.0,33.3
937,1129,Erling Haaland,no NOR,FW,Manchester City,eng Premier League,22,2000,30.8,5,0,0,31,24,8,12,3,2,1.0,0.0,0,37.0,50.0,50.0,50.0
938,1130,Nicolas Haas,ch SUI,MF,Empoli,it Serie A,26,1996,12.8,2,0,0,20,11,1,11,8,13,0.0,0.0,0,62.0,6.0,19.0,24.0
939,1131,Janik Haberer,de GER,MF,Union Berlin,de Bundesliga,28,1994,24.3,1,0,0,34,38,1,14,14,17,0.0,0.0,0,144.0,38.0,51.0,42.7
940,1132,Alexander Hack,de GER,DF,Mainz 05,de Bundesliga,28,1993,12.6,2,1,0,25,12,1,2,24,18,0.0,2.0,0,87.0,33.0,32.0,50.8
941,1133,Munir El Haddadi,ma MAR,"MF,FW",Getafe,es La Liga,26,1995,12.8,4,0,0,14,34,13,70,9,7,0.0,0.0,0,64.0,28.0,28.0,50.0
942,1134,Jaouen Hadjam,dz ALG,DF,Nantes,fr Ligue 1,19,2003,8.9,1,0,0,10,12,0,28,12,21,0.0,0.0,1,56.0,7.0,12.0,36.8
943,1135,Dennis Hadzikadunic,ba BIH,DF,Mallorca,es La Liga,24,1998,6.8,1,0,0,6,2,0,0,3,6,0.0,0.0,0,28.0,16.0,13.0,55.2
944,1136,André Hahn,de GER,"FW,MF",Augsburg,de Bundesliga,31,1990,4.3,1,0,0,8,3,1,6,4,5,0.0,0.0,0,19.0,13.0,15.0,46.4
945,1137,Amadou Haidara,ml MLI,MF,RB Leipzig,de Bundesliga,24,1998,15.9,7,0,0,29,11,0,3,26,11,1.0,1.0,0,103.0,24.0,31.0,43.6
946,1138,Massadio Haïdara,ml MLI,"DF,MF",Lens,fr Ligue 1,29,1992,18.6,5,0,0,19,26,4,26,36,16,1.0,1.0,0,88.0,38.0,15.0,71.7
947,1139,Achraf Hakimi,ma MAR,"DF,MF",Paris S-G,fr Ligue 1,23,1998,22.8,7,2,1,29,19,5,42,16,34,1.0,0.0,0,129.0,7.0,7.0,50.0
948,1140,Lewis Hall,eng ENG,DF,Chelsea,eng Premier League,17,2004,7.3,1,0,0,3,11,1,34,11,12,0.0,0.0,0,48.0,7.0,5.0,58.3
949,1141,Sébastien Haller,ci CIV,FW,Dortmund,de Bundesliga,28,1994,13.6,1,0,0,13,14,4,3,1,4,1.0,0.0,0,32.0,42.0,40.0,51.2
950,1142,Marcel Halstenberg,de GER,DF,RB Leipzig,de Bundesliga,30,1991,17.3,2,0,0,19,7,0,45,21,21,1.0,0.0,0,102.0,26.0,16.0,61.9
951,1143,Mathis Hamdi,fr FRA,DF,Troyes,fr Ligue 1,18,2003,0.8,0,0,0,1,1,0,2,1,0,0.0,0.0,0,1.0,0.0,1.0,0.0
952,1144,Ben Hamed Touré,ci CIV,FW,Ajaccio,fr Ligue 1,18,2003,2.3,0,0,0,7,5,0,0,1,4,0.0,0.0,0,5.0,2.0,15.0,11.8
953,1145,Romain Hamouma,fr FRA,"FW,MF",Ajaccio,fr Ligue 1,35,1987,12.0,5,2,2,18,15,4,54,2,3,2.0,0.0,0,33.0,12.0,18.0,40.0
954,1146,Saïd Hamulic,ba BIH,FW,Toulouse,fr Ligue 1,21,2000,1.2,1,0,0,2,1,1,1,0,0,0.0,0.0,0,3.0,0.0,2.0,0.0
955,1147,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,de Bundesliga,25,1997,16.6,5,0,0,22,9,0,6,33,23,0.0,1.0,0,117.0,69.0,40.0,63.3
956,1151,Amine Harit,ma MAR,"MF,FW",Marseille,fr Ligue 1,25,1997,5.7,1,0,0,2,13,2,16,4,4,0.0,0.0,0,27.0,1.0,12.0,7.7
957,1152,Luke Harris,wls WAL,"MF,FW",Fulham,eng Premier League,17,2005,0.1,0,0,0,1,0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
958,1153,Jack Harrison,eng ENG,"FW,MF",Leeds United,eng Premier League,25,1996,30.1,2,0,0,38,37,3,186,22,17,0.0,0.0,0,174.0,5.0,42.0,10.6
959,1154,Abdou Harroui,nl NED,MF,Sassuolo,it Serie A,24,1998,7.2,2,0,0,13,3,1,11,2,6,0.0,0.0,0,38.0,9.0,5.0,64.3
960,1155,Makoto Hasebe,jp JPN,DF,Eint Frankfurt,de Bundesliga,38,1984,14.5,1,0,0,7,15,0,2,17,12,0.0,0.0,0,98.0,15.0,24.0,38.5
961,1156,Haissem Hassan,fr FRA,"FW,MF",Villarreal,es La Liga,20,2002,0.6,0,0,0,0,1,0,1,1,0,0.0,0.0,0,2.0,1.0,1.0,50.0
962,1157,Hans Hateboer,nl NED,DF,Atalanta,it Serie A,28,1994,15.5,7,0,0,19,3,1,23,12,13,0.0,0.0,0,50.0,24.0,14.0,63.2
963,1158,Kai Havertz,de GER,"FW,MF",Chelsea,eng Premier League,23,1999,28.5,5,0,0,60,25,28,14,7,16,0.0,0.0,0,81.0,79.0,59.0,57.2
964,1159,Eden Hazard,be BEL,FW,Real Madrid,es La Liga,31,1991,2.2,0,0,0,2,9,0,0,1,0,0.0,0.0,0,5.0,1.0,0.0,100.0
965,1160,Thorgan Hazard,be BEL,"FW,DF",Dortmund,de Bundesliga,29,1993,5.2,1,0,0,14,5,4,37,5,6,0.0,0.0,0,44.0,4.0,8.0,33.3
966,1161,Rhys Healey,wls WAL,FW,Toulouse,fr Ligue 1,27,1994,0.7,1,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,2.0,0.0,100.0
967,1162,Jan Paul van Hecke,nl NED,DF,Brighton,eng Premier League,22,2000,3.3,2,0,0,7,4,0,0,6,6,0.0,0.0,0,15.0,6.0,15.0,28.6
968,1163,Jonas Hector,de GER,DF,Köln,de Bundesliga,32,1990,31.4,3,0,0,23,77,1,114,39,66,0.0,1.0,0,221.0,56.0,33.0,62.9
969,1164,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,eng Premier League,26,1996,12.6,1,0,0,20,19,1,10,5,9,0.0,0.0,0,45.0,7.0,30.0,18.9
970,1165,Gauthier Hein,fr FRA,"MF,FW",Auxerre,fr Ligue 1,25,1996,20.8,1,0,0,21,14,2,99,6,20,0.0,0.0,0,89.0,3.0,31.0,8.8
971,1166,Dominique Heintz,de GER,DF,Bochum,de Bundesliga,28,1993,8.8,1,0,0,11,4,0,8,12,9,0.0,0.0,0,54.0,18.0,12.0,60.0
972,1168,Jordan Henderson,eng ENG,MF,Liverpool,eng Premier League,32,1990,23.0,2,0,0,18,9,3,45,21,23,0.0,0.0,0,163.0,11.0,10.0,52.4
973,1169,Liam Henderson,sct SCO,MF,Empoli,it Serie A,26,1996,11.2,9,0,0,35,12,2,35,10,10,0.0,0.0,0,61.0,6.0,11.0,35.3
974,1170,Jack Hendry,sct SCO,DF,Cremonese,it Serie A,27,1995,2.4,1,0,0,2,1,0,1,1,0,0.0,0.0,0,14.0,8.0,3.0,72.7
975,1172,Benjamin Henrichs,de GER,"DF,MF",RB Leipzig,de Bundesliga,25,1997,24.3,8,0,0,37,28,3,47,35,46,0.0,0.0,0,169.0,22.0,14.0,61.1
976,1173,Henrique,br BRA,"DF,FW",Lyon,fr Ligue 1,28,1994,4.0,0,0,0,5,11,1,4,5,4,0.0,0.0,0,15.0,10.0,5.0,66.7
977,1174,Luiz Henrique,br BRA,FW,Betis,es La Liga,21,2001,20.1,6,0,0,25,41,5,31,14,34,0.0,0.0,0,127.0,27.0,41.0,39.7
978,1175,Matheus Henrique,br BRA,MF,Sassuolo,it Serie A,24,1997,21.6,4,0,0,22,33,1,9,12,12,0.0,0.0,0,97.0,11.0,19.0,36.7
979,1176,Rico Henry,eng ENG,DF,Brentford,eng Premier League,25,1997,36.0,4,0,0,32,38,2,87,30,31,1.0,0.0,0,197.0,40.0,55.0,42.1
980,1177,Thomas Henry,fr FRA,FW,Hellas Verona,it Serie A,27,1994,11.4,4,0,0,27,16,9,5,0,3,0.0,0.0,0,29.0,46.0,39.0,54.1
981,1178,Christophe Hérelle,mq MTQ,DF,Brest,fr Ligue 1,29,1992,11.8,2,0,0,13,14,0,2,20,4,0.0,2.0,1,58.0,11.0,10.0,52.4
982,1179,Mario Hermoso,es ESP,DF,Atlético Madrid,es La Liga,27,1995,23.4,7,2,2,27,13,2,16,19,15,0.0,1.0,0,137.0,35.0,27.0,56.5
983,1180,Aridane Hernández,gq EQG,DF,Osasuna,es La Liga,33,1989,19.9,1,0,0,14,12,0,0,28,15,0.0,0.0,1,107.0,30.0,15.0,66.7
984,1181,Lucas Hernández,fr FRA,DF,Bayern Munich,de Bundesliga,26,1996,5.3,1,0,0,4,4,0,2,5,4,0.0,0.0,0,33.0,4.0,2.0,66.7
985,1182,Luis Hernández,es ESP,DF,Cádiz,es La Liga,33,1989,35.0,8,1,1,27,7,2,18,31,21,0.0,0.0,0,148.0,40.0,23.0,63.5
986,1183,Mario Hernández,es ESP,DF,Rayo Vallecano,es La Liga,23,1999,1.1,1,0,0,1,1,0,1,2,2,0.0,0.0,0,3.0,0.0,1.0,0.0
987,1184,Theo Hernández,fr FRA,DF,Milan,it Serie A,24,1997,30.8,7,0,0,22,57,2,92,21,24,0.0,0.0,1,190.0,37.0,15.0,71.2
988,1185,Jorge Herrando,es ESP,DF,Osasuna,es La Liga,21,2001,0.3,0,1,0,1,0,0,0,0,0,0.0,0.0,0,0.0,3.0,0.0,100.0
989,1186,Ander Herrera,es ESP,MF,Athletic Club,es La Liga,32,1989,7.7,4,1,0,20,11,0,7,11,10,0.0,0.0,0,53.0,7.0,5.0,58.3
990,1188,Yangel Herrera,ve VEN,"MF,FW",Girona,es La Liga,24,1998,10.7,4,0,0,34,22,2,19,4,9,0.0,0.0,0,45.0,18.0,31.0,36.7
991,1189,Patrick Herrmann,de GER,"FW,MF",M'Gladbach,de Bundesliga,31,1991,1.8,2,0,0,4,4,0,12,2,2,0.0,1.0,0,16.0,2.0,5.0,28.6
992,1190,Son Heung-min,kr KOR,"MF,FW",Tottenham,eng Premier League,30,1992,32.1,2,0,0,13,36,18,113,13,12,0.0,0.0,0,109.0,9.0,28.0,24.3
993,1191,Aaron Hickey,sct SCO,DF,Brentford,eng Premier League,20,2002,21.3,7,0,0,20,35,1,27,17,26,0.0,1.0,0,111.0,14.0,22.0,38.9
994,1192,Isak Hien,se SWE,DF,Hellas Verona,it Serie A,23,1999,29.0,9,0,0,52,23,0,1,31,36,0.0,0.0,0,229.0,80.0,53.0,60.2
995,1193,Omar El Hilali,ma MAR,"DF,MF",Espanyol,es La Liga,18,2003,1.0,1,0,0,0,2,0,2,1,2,0.0,0.0,0,10.0,2.0,1.0,66.7
996,1194,Piero Hincapié,ec ECU,DF,Leverkusen,de Bundesliga,20,2002,27.3,13,3,2,40,35,1,26,31,34,0.0,2.0,0,177.0,59.0,48.0,55.1
997,1195,Jack Hinshelwood,eng ENG,FW,Brighton,eng Premier League,17,2005,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
998,1196,Morten Hjulmand,dk DEN,MF,Lecce,it Serie A,23,1999,32.9,9,1,0,61,38,0,17,72,52,0.0,1.0,0,252.0,41.0,29.0,58.6
999,1197,Adam Hložek,cz CZE,"FW,MF",Leverkusen,de Bundesliga,20,2002,14.3,2,0,0,19,20,1,15,6,4,0.0,0.0,0,37.0,24.0,43.0,35.8
1000,1198,Joseph Hodge,ie IRL,MF,Wolves,eng Premier League,19,2002,1.9,1,0,0,2,1,0,1,0,2,0.0,0.0,0,13.0,1.0,2.0,33.3
1001,1199,Nicolas Höfler,de GER,MF,Freiburg,de Bundesliga,32,1990,31.3,9,1,0,66,50,1,1,58,35,0.0,2.0,0,204.0,69.0,53.0,56.6
1002,1200,Jonas Hofmann,de GER,"FW,MF",M'Gladbach,de Bundesliga,30,1992,29.8,2,0,0,17,39,23,203,16,16,2.0,1.0,0,141.0,10.0,21.0,32.3
1003,1201,Philipp Hofmann,de GER,FW,Bochum,de Bundesliga,29,1993,29.2,5,0,0,46,41,16,4,6,11,0.0,0.0,0,82.0,214.0,171.0,55.6
1004,1202,Rob Holding,eng ENG,DF,Arsenal,eng Premier League,26,1995,6.3,0,0,0,5,2,0,0,3,5,0.0,1.0,0,40.0,22.0,17.0,56.4
1005,1203,Lucas Höler,de GER,"FW,MF",Freiburg,de Bundesliga,28,1994,16.7,1,0,0,21,37,9,11,10,14,0.0,0.0,0,60.0,70.0,49.0,58.8
1006,1204,Mason Holgate,eng ENG,DF,Everton,eng Premier League,25,1996,5.6,3,1,1,9,4,0,2,7,7,0.0,0.0,0,23.0,9.0,10.0,47.4
1007,1205,Emil Holm,se SWE,DF,Spezia,it Serie A,22,2000,15.5,4,0,0,22,16,2,50,9,15,0.0,0.0,0,81.0,65.0,62.0,51.2
1008,1206,Noah Holm,no NOR,"FW,MF",Reims,fr Ligue 1,21,2001,2.2,1,0,0,6,9,1,0,0,4,0.0,0.0,0,12.0,4.0,12.0,25.0
1009,1207,Gerrit Holtmann,ph PHI,"FW,MF",Bochum,de Bundesliga,27,1995,10.5,0,0,0,7,7,3,52,2,7,0.0,0.0,0,57.0,14.0,19.0,42.4
1010,1210,Franck Honorat,fr FRA,"FW,MF",Brest,fr Ligue 1,25,1996,28.2,1,0,0,23,18,9,214,21,29,0.0,1.0,0,134.0,13.0,36.0,26.5
1011,1211,Jannes Horn,de GER,"DF,FW",Bochum,de Bundesliga,25,1997,0.7,1,0,0,1,0,0,0,3,1,0.0,1.0,0,2.0,0.0,0.0,0.0
1012,1212,Cédric Hountondji,bj BEN,DF,Angers,fr Ligue 1,28,1994,34.4,7,0,0,42,11,0,2,59,36,0.0,3.0,2,151.0,63.0,31.0,67.0
1013,1213,Ilyes Housni,fr FRA,FW,Paris S-G,fr Ligue 1,17,2005,0.1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
1014,1215,Petko Hristov,bg BUL,DF,Spezia,it Serie A,23,1999,4.1,0,0,0,1,4,0,1,4,4,1.0,0.0,0,21.0,10.0,5.0,66.7
1015,1216,Ajdin Hrustic,au AUS,MF,Hellas Verona,it Serie A,26,1996,2.5,0,0,0,7,2,0,7,0,1,0.0,0.0,0,11.0,1.0,3.0,25.0
1016,1217,Timo Hübers,de GER,DF,Köln,de Bundesliga,26,1996,28.4,8,0,0,31,23,1,2,58,28,0.0,1.0,1,232.0,94.0,65.0,59.1
1017,1218,Callum Hudson-Odoi,eng ENG,"FW,MF",Leverkusen,de Bundesliga,21,2000,6.7,0,0,0,2,20,2,12,2,3,0.0,0.0,0,26.0,0.0,5.0,0.0
1018,1219,Will Hughes,eng ENG,MF,Crystal Palace,eng Premier League,27,1995,9.4,4,0,0,19,7,0,12,16,16,0.0,1.0,0,66.0,5.0,13.0,27.8
1019,1220,Mats Hummels,de GER,DF,Dortmund,de Bundesliga,33,1988,22.4,4,0,0,18,19,2,6,33,34,0.0,0.0,0,137.0,71.0,40.0,64.0
1020,1221,Adrien Hunou,fr FRA,"MF,FW",Angers,fr Ligue 1,28,1994,24.8,2,0,0,14,45,5,16,7,20,2.0,1.0,0,108.0,19.0,28.0,40.4
1021,1222,Denis Huseinbasic,de GER,"MF,FW",Köln,de Bundesliga,21,2001,8.8,3,0,0,14,7,0,12,4,9,0.0,0.0,0,55.0,7.0,12.0,36.8
1022,1223,Omari Hutchinson,eng ENG,FW,Chelsea,eng Premier League,18,2003,0.3,0,0,0,0,0,0,2,1,0,0.0,0.0,0,1.0,0.0,0.0,0.0
1023,1224,Elseid Hysaj,al ALB,DF,Lazio,it Serie A,28,1994,22.2,3,0,0,19,14,2,16,20,23,0.0,1.0,0,132.0,24.0,24.0,50.0
1024,1225,Pierre Højbjerg,dk DEN,MF,Tottenham,eng Premier League,26,1995,34.8,5,0,0,38,36,1,15,49,30,0.0,0.0,0,245.0,27.0,7.0,79.4
1025,1226,Rasmus Højlund,dk DEN,FW,Atalanta,it Serie A,19,2003,20.4,1,0,0,21,32,6,7,1,3,2.0,0.0,0,58.0,33.0,56.0,37.1
1026,1227,Iago,br BRA,"DF,MF",Augsburg,de Bundesliga,25,1997,17.8,6,1,1,13,13,1,43,17,16,0.0,0.0,0,97.0,13.0,25.0,34.2
1027,1228,Pablo Ibáñez,es ESP,MF,Osasuna,es La Liga,23,1998,11.8,1,0,0,22,16,4,6,8,13,0.0,0.0,0,61.0,24.0,37.0,39.3
1028,1229,Roger Ibanez,br BRA,DF,Roma,it Serie A,23,1998,31.1,11,1,1,44,48,0,1,66,33,1.0,0.0,1,218.0,59.0,28.0,67.8
1029,1230,Arijon Ibrahimović,de GER,MF,Bayern Munich,de Bundesliga,16,2005,0.2,0,0,0,0,1,0,0,0,1,0.0,0.0,0,1.0,2.0,0.0,100.0
1030,1231,Zlatan Ibrahimović,se SWE,FW,Milan,it Serie A,40,1981,1.6,0,0,0,2,1,0,0,0,0,0.0,0.0,0,3.0,8.0,4.0,66.7
1031,1232,Mounaim El Idrissy,fr FRA,FW,Ajaccio,fr Ligue 1,23,1999,27.7,10,0,0,81,80,23,20,13,19,2.0,0.0,0,67.0,110.0,191.0,36.5
1032,1233,Antonio Iervolino,it ITA,MF,Salernitana,it Serie A,19,2003,0.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0
1033,1234,Iglesias,es ESP,"DF,MF",Getafe,es La Liga,24,1998,23.8,7,0,0,44,21,2,86,21,35,0.0,0.0,0,127.0,15.0,19.0,44.1
1034,1235,Borja Iglesias,es ESP,FW,Betis,es La Liga,29,1993,26.3,2,1,0,40,52,22,0,1,4,0.0,0.0,0,46.0,24.0,44.0,35.3
1035,1236,Igor,br BRA,DF,Fiorentina,it Serie A,24,1998,22.9,10,1,1,29,13,0,1,25,29,0.0,0.0,0,157.0,38.0,28.0,57.6
1036,1237,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,eng Premier League,25,1996,12.5,0,0,0,18,5,12,6,0,2,0.0,0.0,0,30.0,15.0,31.0,32.6
1037,1238,Jonathan Ikone,fr FRA,FW,Fiorentina,it Serie A,24,1998,22.3,4,0,0,28,25,5,24,4,8,1.0,0.0,0,86.0,14.0,28.0,33.3
1038,1241,Rareş Ilie,ro ROU,"MF,FW",Nice,fr Ligue 1,19,2003,1.6,0,0,0,0,0,1,1,1,3,0.0,0.0,0,9.0,2.0,1.0,66.7
1039,1242,Samuel Iling-Junior,eng ENG,"DF,FW",Juventus,it Serie A,18,2003,3.5,1,0,0,9,2,0,12,2,2,0.0,0.0,0,18.0,1.0,3.0,25.0
1040,1245,Asier Illarramendi,es ESP,MF,Real Sociedad,es La Liga,32,1990,12.0,5,0,0,25,13,0,6,18,18,0.0,0.0,0,67.0,16.0,20.0,44.4
1041,1246,Ciro Immobile,it ITA,FW,Lazio,it Serie A,32,1990,24.7,3,0,0,21,24,21,5,1,5,3.0,0.0,0,52.0,14.0,33.0,29.8
1042,1249,Marcus Ingvartsen,dk DEN,"FW,MF",Mainz 05,de Bundesliga,26,1996,14.6,2,0,0,33,21,9,6,4,1,0.0,0.0,0,48.0,30.0,55.0,35.3
1043,1250,Bonke Innocent,ng NGA,MF,Lorient,fr Ligue 1,26,1996,13.1,5,0,0,38,11,0,0,26,17,0.0,1.0,0,77.0,9.0,20.0,31.0
1044,1253,Isco,es ESP,"MF,FW",Sevilla,es La Liga,30,1992,8.9,5,0,0,11,34,6,18,10,9,0.0,0.0,0,48.0,5.0,14.0,26.3
1045,1254,Ismaily,br BRA,DF,Lille,fr Ligue 1,32,1990,19.8,0,0,0,14,22,2,15,21,18,1.0,0.0,0,112.0,36.0,22.0,62.1
1046,1255,Ardian Ismajli,al ALB,DF,Empoli,it Serie A,25,1996,23.3,3,0,0,19,13,0,0,27,32,0.0,0.0,1,93.0,57.0,41.0,58.2
1047,1256,Ko Itakura,jp JPN,DF,M'Gladbach,de Bundesliga,25,1997,22.0,1,2,0,11,14,0,2,27,17,0.0,1.0,0,108.0,42.0,29.0,59.2
1048,1257,Hiroki Ito,jp JPN,DF,Stuttgart,de Bundesliga,23,1999,28.5,5,0,0,16,19,3,53,40,29,0.0,0.0,0,219.0,38.0,30.0,55.9
1049,1258,Junya Ito,jp JPN,FW,Reims,fr Ligue 1,29,1993,32.4,3,1,0,20,43,31,198,8,20,0.0,0.0,0,131.0,29.0,26.0,52.7
1050,1259,Diego Iturralde,es ESP,DF,Sevilla,es La Liga,19,2003,0.5,1,0,0,2,1,0,1,0,0,0.0,0.0,0,1.0,1.0,1.0,50.0
