,Player,Nationality,Position,Squad,Competition,Age,Year_of_Birth,Matches_Played,Minutes,Minutes_Per_Match_Played,Percentage_of_Squad_Minutes_Played,90s_Played,Starts,Minutes_Per_Match_Started,Complete_Matches_Played,Games_Played_as_Sub,Minutes_Per_Substitution,Games_as_Unused_Sub,Points_per_Match,Goals_Scored_(on_pitch),Goals_Allowed_(on_pitch),Plus/Minus,Plus/Minus_per_90,On-Off,xG_(on_pitch),xGA_(on_pitch),xG_Plus/Minus,xG_Plus/Minus_per_90,xG_On-Off,Matches
217,Nicolò Barella,it ITA,MF,Cagliari,it Serie A,21,1997,35,"3,107",89,90.8,34.5,35,89,30,0,,0,1.06,32,50,-18,-0.52,-0.52,36.6,56.8,-20.2,-0.58,-0.63,Matches
218,Philipp Bargfrede,de GER,"MF,DF",Werder Bremen,de Bundesliga,29,1989,15,"1,079",72,35.3,12.0,13,79,5,2,28,1,1.73,19,14,+5,+0.42,+0.24,16.1,14.8,+1.3,+0.11,+0.46,Matches
219,Antonino Barillà,it ITA,MF,Parma,it Serie A,30,1988,31,"2,618",84,76.5,29.1,30,87,23,1,16,3,1.19,33,40,-7,-0.24,+1.22,31.5,49.9,-18.4,-0.63,+0.12,Matches
220,Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,24,1993,27,"1,245",46,36.4,13.8,13,75,3,14,19,9,2.00,28,13,+15,+1.08,+0.71,23.8,10.9,+12.9,+0.93,+0.54,Matches
221,Aymen Barkok,ma MAR,MF,Düsseldorf,de Bundesliga,20,1998,12,510,43,16.7,5.7,4,80,2,8,24,6,1.00,8,16,-8,-1.41,-1.13,6.0,11.4,-5.4,-0.96,-0.61,Matches
222,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,28,1989,37,"2,388",65,69.8,26.5,26,85,16,11,17,1,1.00,35,41,-6,-0.23,+1.26,34.9,39.2,-4.4,-0.16,+1.00,Matches
223,Harvey Barnes,eng ENG,"MF,FW",Leicester City,eng Premier League,20,1997,16,"1,004",63,29.4,11.2,11,79,3,5,27,1,1.25,19,16,+3,+0.27,+0.27,21.0,11.2,+9.8,+0.87,+0.91,Matches
224,Antonio Barragán,es ESP,"DF,FW",Betis,es La Liga,31,1987,14,934,67,27.3,10.4,12,76,7,2,10,7,1.21,9,16,-7,-0.67,-0.64,10.6,14.2,-3.6,-0.35,-0.39,Matches
225,Antonio Barreca,it ITA,DF,Newcastle Utd,eng Premier League,23,1995,1,5,5,0.1,0.1,0,,0,1,4,2,0.00,0,0,0,0.00,+0.16,0.0,0.2,-0.2,-2.81,-2.44,Matches
226,Antonio Barreca,it ITA,DF,Monaco,fr Ligue 1,23,1995,7,593,85,17.3,6.6,7,85,4,0,,2,0.86,9,9,0,0.00,+0.60,10.7,8.0,+2.7,+0.40,+0.58,Matches
