,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked
1203,1433,Juanmi Latasa,es ESP,FW,Getafe,es La Liga,22.0,2001.0,17.3,368.0,354.0,11.0,0.0,2.0,0.0,2,0.0,0.0,0.0,0.0,0.0,192.0,3.0,5.0
1204,1434,Toni Lato,es ESP,DF,Mallorca,es La Liga,25.0,1997.0,17.2,788.0,619.0,167.0,2.0,1.0,3.0,49,164.0,1.0,0.0,0.0,0.0,595.0,2.0,23.0
1205,1435,Armand Lauriente,fr FRA,FW,Sassuolo,it Serie A,24.0,1998.0,32.3,908.0,805.0,103.0,15.0,4.0,11.0,135,14.0,72.0,47.0,6.0,1.0,628.0,0.0,32.0
1206,1436,Roméo Lavia,be BEL,MF,Chelsea,eng Premier League,19.0,2004.0,0.4,27.0,27.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0
1207,1437,Lázaro,br BRA,"FW,MF",Almería,es La Liga,21.0,2002.0,3.2,100.0,87.0,12.0,4.0,1.0,2.0,12,3.0,5.0,3.0,2.0,0.0,69.0,1.0,4.0
1208,1438,Valentino Lazaro,at AUT,"DF,MF",Torino,it Serie A,27.0,1996.0,22.2,1106.0,884.0,216.0,17.0,1.0,3.0,127,147.0,52.0,37.0,11.0,0.0,839.0,6.0,23.0
1209,1439,Darko Lazović,rs SRB,"FW,MF",Hellas Verona,it Serie A,32.0,1990.0,21.4,671.0,581.0,88.0,18.0,1.0,3.0,97,41.0,28.0,13.0,14.0,0.0,431.0,2.0,33.0
1210,1440,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,29.0,1993.0,18.6,975.0,819.0,156.0,11.0,0.0,2.0,56,145.0,0.0,0.0,0.0,0.0,826.0,0.0,28.0
1211,1441,Théo Le Bris,fr FRA,"DF,MF",Lorient,fr Ligue 1,20.0,2002.0,16.8,680.0,602.0,75.0,2.0,0.0,1.0,33,68.0,3.0,2.0,0.0,0.0,531.0,3.0,16.0
1212,1444,Jérémy Le Douaron,fr FRA,FW,Brest,fr Ligue 1,25.0,1998.0,18.0,387.0,385.0,2.0,1.0,1.0,3.0,44,1.0,0.0,0.0,0.0,0.0,252.0,0.0,21.0
