,Player,Nation,Position,Squad,Competition,Age,Born,90s,Goals,Shots_total,Shots_on_target,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net,Matches
2201,Giacomo Ricci,it ITA,DF,Parma,it Serie A,23,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2202,Matteo Ricci,it ITA,MF,Spezia,it Serie A,26,1994,24.8,0,21,5,23.8,0.85,0.20,0.00,0.00,27.1,3,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
2203,Declan Rice,eng ENG,MF,West Ham,eng Premier League,21,1999,32.0,2,25,7,28.0,0.78,0.22,0.04,0.14,20.8,3,1,2,3.2,1.6,0.06,-1.2,-0.6,Matches
2204,Chris Richards,us USA,DF,Hoffenheim,de Bundesliga,20,2000,10.5,0,2,0,0.0,0.19,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
2205,Chris Richards,us USA,DF,Bayern Munich,de Bundesliga,20,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2206,Lewis Richardson,eng ENG,"FW,MF",Burnley,eng Premier League,17,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2207,Richarlison,br BRA,FW,Everton,eng Premier League,23,1997,31.8,7,80,31,38.8,2.52,0.98,0.08,0.19,15.1,1,1,1,9.7,8.8,0.11,-2.7,-2.8,Matches
2208,Marco Richter,de GER,"FW,MF",Augsburg,de Bundesliga,22,1997,15.7,3,55,19,34.5,3.50,1.21,0.05,0.16,20.2,0,0,0,5.1,5.1,0.09,-2.1,-2.1,Matches
2209,Mikel Rico,es ESP,MF,Huesca,es La Liga,35,1984,24.3,1,19,6,31.6,0.78,0.25,0.05,0.17,16.0,0,0,0,2.4,2.4,0.13,-1.4,-1.4,Matches
2210,Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,26,1993,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2211,Jaïro Riedewald,nl NED,MF,Crystal Palace,eng Premier League,23,1996,20.2,2,8,2,25.0,0.40,0.10,0.25,1.00,21.0,0,0,0,0.6,0.6,0.07,+1.4,+1.4,Matches
2212,Emiliano Rigoni,ar ARG,MF,Elche,es La Liga,27,1993,12.7,1,16,7,43.8,1.26,0.55,0.06,0.14,20.6,4,0,0,2.4,2.4,0.15,-1.4,-1.4,Matches
2213,Tomás Rincón,ve VEN,MF,Torino,it Serie A,32,1988,31.6,1,22,4,18.2,0.70,0.13,0.05,0.25,18.8,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
