,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Tocuhes_Live_Balls,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Carries,Total_Distance,Progressive_Distance_Carried,Progressive_Carries,1/3_Carries,Carries_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Progressive_Passes_Received,Matches
1598,Fernando Marçal,br BRA,DF,Lyon,fr Ligue 1,31,1989,0.9,78,0,9,57,12,0,78,0,0,,0,,48,382,258,2,0,0,0,0,54,0,Matches
1599,Marcelo,br BRA,"DF,MF",Real Madrid,es La Liga,32,1988,11.7,982,19,184,444,364,24,982,14,12,85.7,2,14.3,586,2600,1418,24,26,4,14,5,715,92,Matches
1600,Marcelo,br BRA,DF,Lyon,fr Ligue 1,33,1987,32.3,2396,244,1057,1260,89,42,2396,5,3,60.0,2,40.0,1445,6904,4470,18,10,1,10,2,1653,6,Matches
1601,Solly March,eng ENG,"DF,MF",Brighton,eng Premier League,26,1994,18.6,1185,44,245,445,515,50,1185,63,44,69.8,19,30.2,605,4400,2101,74,34,18,22,24,662,146,Matches
1602,Federico Marchetti,it ITA,GK,Genoa,it Serie A,37,1983,3.7,143,129,142,1,0,0,143,0,0,,0,,79,272,170,0,0,0,0,0,75,0,Matches
1603,Riccardo Marchizza,it ITA,DF,Spezia,it Serie A,22,1998,17.3,1101,43,385,437,288,27,1101,18,6,33.3,12,66.7,598,3344,1521,33,20,6,23,8,671,84,Matches
1604,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,28,1992,33.5,3045,371,1280,1645,133,37,3045,12,6,50.0,6,50.0,1950,10461,6883,38,32,4,17,7,2325,18,Matches
1605,Iván Marcone,ar ARG,MF,Elche,es La Liga,30,1990,29.4,1735,110,611,1019,115,5,1735,17,13,76.5,4,23.5,1045,4871,2357,15,7,0,21,12,1171,11,Matches
1606,Óscar de Marcos,es ESP,"DF,MF",Athletic Club,es La Liga,31,1989,16.9,912,41,229,379,309,25,912,12,7,58.3,5,41.7,443,2781,1507,54,35,7,23,4,514,107,Matches
1607,Dario Maresic,at AUT,DF,Reims,fr Ligue 1,20,1999,5.7,399,48,192,190,20,1,399,0,0,,0,,258,1954,875,9,4,0,3,2,286,3,Matches
1608,José Mari,es ESP,MF,Cádiz,es La Liga,32,1987,16.1,646,48,208,361,94,5,645,25,16,64.0,9,36.0,256,1245,495,8,8,1,10,13,286,10,Matches
1609,Pablo Marí,es ESP,DF,Arsenal,eng Premier League,26,1993,10.0,700,83,390,302,9,3,700,3,3,100.0,0,0.0,455,2154,1336,4,4,0,1,0,518,0,Matches
1610,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,25,1995,19.6,1284,134,612,625,53,23,1284,2,1,50.0,1,50.0,745,3718,2222,11,6,0,2,1,899,4,Matches
1611,Mariano,do DOM,FW,Real Madrid,es La Liga,26,1993,5.7,160,7,18,57,87,25,160,12,7,58.3,5,41.7,89,629,220,7,13,5,12,14,121,30,Matches
1612,Jordan Marié,fr FRA,MF,Dijon,fr Ligue 1,28,1991,15.9,910,27,193,615,112,4,910,18,11,61.1,7,38.9,486,1532,594,6,10,1,23,11,612,24,Matches
1613,Adrián Marín,es ESP,"DF,MF",Alavés,es La Liga,23,1997,1.0,69,3,11,44,16,2,69,1,0,0.0,1,100.0,36,105,47,1,1,1,1,0,33,6,Matches
1614,Adrián Marín,es ESP,"DF,MF",Granada,es La Liga,23,1997,3.0,162,6,48,91,25,0,162,3,3,100.0,0,0.0,61,297,195,5,2,0,5,0,69,2,Matches
1615,Răzvan Marin,ro ROU,MF,Cagliari,it Serie A,24,1996,32.9,1984,44,383,1089,543,32,1984,73,34,46.6,39,53.4,1065,6302,2962,45,48,7,49,25,1282,80,Matches
1616,Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,26,1994,23.2,1849,163,821,997,37,25,1849,2,2,100.0,0,0.0,1184,6050,3660,16,7,0,9,0,1406,4,Matches
1617,Marlon,br BRA,DF,Sassuolo,it Serie A,24,1995,19.4,1763,152,648,1068,55,7,1763,8,8,100.0,0,0.0,1127,6321,3997,12,10,0,5,4,1375,1,Matches
1618,Omar Marmoush,eg EGY,FW,Wolfsburg,de Bundesliga,21,1999,0.0,1,0,0,0,1,1,1,0,0,,0,,1,0,0,0,0,0,0,0,1,1,Matches
1619,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,26,1994,23.6,1944,194,812,1069,78,28,1944,2,2,100.0,0,0.0,1258,6250,3857,14,16,0,8,3,1482,7,Matches
1620,Luca Marrone,it ITA,DF,Crotone,it Serie A,30,1990,17.6,1169,215,717,443,11,5,1169,2,1,50.0,1,50.0,707,3139,1509,4,2,0,5,1,780,0,Matches
1621,Roger Martí,es ESP,FW,Levante,es La Liga,29,1991,24.4,700,9,45,305,354,99,696,19,14,73.7,5,26.3,357,1299,449,12,15,6,58,26,524,155,Matches
1622,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,24,1995,16.4,675,12,47,243,392,103,675,59,35,59.3,24,40.7,454,2777,1327,48,32,18,50,37,585,155,Matches
1623,Aarón Martín,es ESP,DF,Celta Vigo,es La Liga,23,1997,17.1,1015,52,312,461,253,16,1015,25,17,68.0,8,32.0,517,2261,1121,32,24,3,14,7,603,86,Matches
1624,Aarón Martín,es ESP,"DF,FW",Mainz 05,de Bundesliga,23,1997,2.9,192,7,46,89,57,2,192,5,3,60.0,2,40.0,106,534,170,5,1,1,3,2,116,18,Matches
1625,Álex Martín,es ESP,DF,Cádiz,es La Liga,22,1998,1.1,50,5,14,27,10,0,50,0,0,,0,,26,88,42,1,0,0,2,0,28,1,Matches
1626,Jonas Martin,fr FRA,MF,Rennes,fr Ligue 1,30,1990,5.4,437,7,83,300,56,2,437,7,2,28.6,5,71.4,250,952,397,5,7,1,4,5,317,9,Matches
1627,Martinelli,br BRA,FW,Arsenal,eng Premier League,19,2001,6.5,256,7,38,67,154,41,256,25,13,52.0,12,48.0,157,1054,536,23,6,13,22,7,169,62,Matches
1628,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,27,1992,38.0,1404,1172,1389,15,0,0,1404,0,0,,0,,779,4456,3037,0,0,0,1,0,593,0,Matches
1629,Iñigo Martínez,es ESP,DF,Athletic Club,es La Liga,29,1991,28.0,1686,149,722,903,76,20,1686,9,7,77.8,2,22.2,974,6191,4011,31,20,1,11,5,1062,7,Matches
1630,Javi Martínez,es ESP,"MF,FW",Osasuna,es La Liga,20,1999,5.1,211,8,39,110,68,10,211,8,6,75.0,2,25.0,89,589,265,4,5,0,9,3,117,19,Matches
1631,Javi Martínez,es ESP,"DF,MF",Bayern Munich,de Bundesliga,31,1988,5.2,458,27,137,278,43,5,458,1,1,100.0,0,0.0,252,1398,762,7,5,0,4,3,318,5,Matches
1632,Josep Martinez,es ESP,GK,RB Leipzig,de Bundesliga,22,1998,1.0,51,42,50,1,0,0,51,0,0,,0,,35,160,65,0,0,0,0,0,34,0,Matches
1633,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,22,1997,28.5,966,15,83,365,535,184,964,71,36,50.7,35,49.3,536,2712,1373,48,24,26,90,33,706,187,Matches
1634,Pablo Martinez,fr FRA,DF,Nîmes,fr Ligue 1,31,1989,6.0,360,40,181,177,3,2,360,1,0,0.0,1,100.0,210,993,670,6,0,0,1,2,230,0,Matches
1635,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,24,1996,16.5,1025,96,474,455,108,25,1025,24,14,58.3,10,41.7,607,3901,2128,31,31,2,14,6,628,9,Matches
1636,Gelson Martins,pt POR,"MF,FW",Monaco,fr Ligue 1,25,1995,17.2,857,5,86,350,441,72,857,79,40,50.6,39,49.4,598,3772,1628,57,35,25,58,29,640,191,Matches
1637,Adam Marušić,me MNE,DF,Lazio,it Serie A,27,1992,33.0,1865,92,546,854,482,59,1865,51,24,47.1,27,52.9,1021,6096,3045,53,40,11,25,20,1186,201,Matches
1638,Sylvain Marveaux,fr FRA,"MF,FW",Lorient,fr Ligue 1,34,1986,2.2,115,5,23,65,28,5,115,7,4,57.1,3,42.9,59,406,247,9,5,2,3,6,80,5,Matches
1639,Marvin,es ESP,"DF,MF",Real Madrid,es La Liga,20,2000,1.5,114,2,24,61,30,3,114,6,2,33.3,4,66.7,61,340,128,6,3,2,6,1,67,10,Matches
1640,Omar Mascarell,es ESP,MF,Schalke 04,de Bundesliga,27,1993,19.6,1115,68,344,693,90,3,1115,16,8,50.0,8,50.0,547,2589,890,10,8,0,16,11,636,5,Matches
1641,Andrea Masiello,it ITA,DF,Genoa,it Serie A,34,1986,28.5,1670,197,825,772,81,11,1670,1,1,100.0,0,0.0,924,3408,1799,9,13,1,5,4,1045,13,Matches
1642,Jordi Masip,es ESP,GK,Valladolid,es La Liga,31,1989,25.0,850,750,845,6,0,0,850,0,0,,0,,404,2497,1676,0,0,0,0,0,306,0,Matches
1643,Roberto Massimo,de GER,"DF,FW",Stuttgart,de Bundesliga,19,2000,8.4,428,16,105,166,169,29,428,42,22,52.4,20,47.6,233,1794,845,23,26,7,27,14,238,79,Matches
1644,Giuseppe Mastinu,it ITA,FW,Spezia,it Serie A,28,1991,0.4,17,0,2,10,5,1,17,1,1,100.0,0,0.0,11,28,10,0,0,0,2,1,12,4,Matches
1645,Arthur Masuaku,cd COD,"DF,MF",West Ham,eng Premier League,26,1993,11.2,702,37,184,312,218,11,702,44,29,65.9,15,34.1,389,2611,1566,45,29,4,14,15,455,54,Matches
1646,Jaime Mata,es ESP,FW,Getafe,es La Liga,31,1988,22.6,799,17,46,324,434,110,797,18,4,22.2,14,77.8,416,1477,379,14,9,7,59,20,613,134,Matches
1647,Juan Mata,es ESP,"FW,MF",Manchester Utd,eng Premier League,32,1988,5.7,329,4,29,169,133,12,328,3,2,66.7,1,33.3,215,1159,448,13,14,3,7,6,278,32,Matches
1648,Pape Matar Sarr,sn SEN,MF,Metz,fr Ligue 1,17,2002,17.7,1144,40,233,731,195,14,1144,33,18,54.5,15,45.5,780,5278,2444,44,41,3,38,9,794,29,Matches
1649,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,18,2002,3.5,116,3,28,67,22,5,116,6,4,66.7,2,33.3,55,256,79,2,4,1,5,2,72,5,Matches
1650,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,23,1997,2.5,77,3,14,43,21,7,77,6,3,50.0,3,50.0,31,123,49,2,0,1,10,5,61,11,Matches
1651,Jean-Philippe Mateta,fr FRA,FW,Mainz 05,de Bundesliga,23,1997,11.1,369,8,26,176,168,49,368,26,12,46.2,14,53.8,195,858,333,14,4,9,46,22,260,74,Matches
1652,Nemanja Matić,rs SRB,MF,Manchester Utd,eng Premier League,31,1988,12.3,1137,41,283,708,161,9,1137,21,17,81.0,4,19.0,751,4589,2916,40,21,3,14,8,853,12,Matches
1653,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,28,1991,7.7,607,45,239,352,21,6,607,0,0,,0,,369,1899,1181,6,8,0,3,1,427,1,Matches
1654,Rabbi Matondo,wls WAL,"FW,MF",Schalke 04,de Bundesliga,19,2000,2.4,58,1,12,20,29,0,58,5,1,20.0,4,80.0,42,456,221,4,3,1,7,4,40,11,Matches
1655,Ryder Matos,br BRA,MF,Udinese,it Serie A,27,1993,0.1,8,0,0,5,4,1,8,1,1,100.0,0,0.0,9,84,59,4,1,0,0,1,10,4,Matches
1656,Henning Matriciani,de GER,DF,Schalke 04,de Bundesliga,20,2000,0.3,8,0,5,3,1,0,8,0,0,,0,,3,13,12,1,0,0,0,0,2,0,Matches
1657,Chrislain Matsima,fr FRA,"DF,FW",Monaco,fr Ligue 1,18,2002,3.9,299,17,88,180,32,3,299,3,2,66.7,1,33.3,174,987,631,10,6,0,1,2,214,1,Matches
1658,Federico Mattiello,it ITA,DF,Spezia,it Serie A,25,1995,0.4,41,0,11,22,9,0,41,1,1,100.0,0,0.0,20,141,84,1,0,0,0,0,27,0,Matches
1659,Neal Maupay,fr FRA,"FW,MF",Brighton,eng Premier League,23,1996,27.9,940,12,75,407,468,141,936,48,24,50.0,24,50.0,547,2893,1154,44,27,22,74,48,674,181,Matches
