,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Matches
217,Nicolò Barella,it ITA,MF,Inter,it Serie A,26,1997,31.6,1835,2168,84.6,30143,9590,958,1045,91.7,678,762,89.0,155,246,63.0,3,3.4,4.5,-0.4,42,212,78,11,278,Matches
218,Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,26,1997,3.4,83,114,72.8,1232,240,44,50,88.0,24,34,70.6,8,17,47.1,0,0.5,0.4,-0.5,5,0,6,3,8,Matches
219,Ross Barkley,eng ENG,MF,Luton Town,eng Premier League,29,1993,29.1,1218,1474,82.6,21602,6544,550,611,90.0,473,533,88.7,147,226,65.0,4,3.7,2.7,+0.3,44,138,27,1,163,Matches
220,Aymen Barkok,ma MAR,"MF,FW",Mainz 05,de Bundesliga,25,1998,3.6,118,184,64.1,1842,639,64,90,71.1,39,59,66.1,9,20,45.0,0,0.3,0.6,-0.3,5,11,4,1,16,Matches
221,Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,eng Premier League,25,1997,8.9,208,272,76.5,2981,750,128,147,87.1,68,84,81.0,7,16,43.8,3,3.2,1.9,-0.2,13,11,17,3,34,Matches
222,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,23,2000,29.0,679,925,73.4,10846,3124,338,425,79.5,267,344,77.6,54,92,58.7,1,1.1,1.1,-0.1,20,74,12,2,93,Matches
223,Enzo Barrenechea,ar ARG,MF,Frosinone,it Serie A,22,2001,31.2,1624,1903,85.3,26904,7782,779,857,90.9,679,775,87.6,126,193,65.3,1,1.7,1.1,-0.7,25,160,8,0,155,Matches
224,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,es La Liga,21,2001,15.9,372,555,67.0,5706,1226,228,280,81.4,104,163,63.8,26,47,55.3,1,1.3,1.1,-0.3,13,15,15,4,39,Matches
225,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,20,2003,17.3,728,873,83.4,11531,3536,381,431,88.4,286,327,87.5,46,71,64.8,1,1.9,1.0,-0.9,16,75,16,0,98,Matches
226,Davide Bartesaghi,it ITA,"DF,MF",Milan,it Serie A,17,2005,0.9,28,35,80.0,493,221,10,11,90.9,15,16,93.8,3,6,50.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
227,Marc Bartra,es ESP,DF,Betis,es La Liga,32,1991,2.5,101,118,85.6,1910,620,39,42,92.9,48,52,92.3,13,21,61.9,0,0.0,0.0,0.0,0,5,0,0,5,Matches
228,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,26,1996,36.6,1516,1808,83.8,30369,9843,431,494,87.2,867,944,91.8,191,318,60.1,1,0.7,0.3,+0.3,2,71,1,0,96,Matches
229,Steven Baseya,fr FRA,DF,Strasbourg,fr Ligue 1,18,2005,0.1,11,12,91.7,203,78,3,3,100.0,8,8,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
230,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,35,1988,3.6,103,138,74.6,1506,484,62,70,88.6,31,45,68.9,6,14,42.9,0,0.3,0.1,-0.3,2,7,2,0,7,Matches
231,Toma Bašić,hr CRO,MF,Salernitana,it Serie A,26,1996,12.9,442,540,81.9,7981,2047,192,208,92.3,179,214,83.6,57,89,64.0,0,0.5,0.7,-0.5,16,43,6,4,53,Matches
232,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,23,1999,25.6,1440,1674,86.0,27276,9421,483,514,94.0,787,855,92.0,141,246,57.3,0,0.0,0.2,0.0,1,80,2,0,62,Matches
233,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,24,1999,25.2,1671,1935,86.4,32047,10473,671,716,93.7,765,834,91.7,211,312,67.6,3,3.4,3.1,-0.4,22,135,35,14,142,Matches
234,Simone Bastoni,it ITA,"MF,DF",Empoli,it Serie A,26,1996,8.3,246,360,68.3,4104,1653,116,141,82.3,93,121,76.9,28,69,40.6,0,0.5,1.0,-0.5,12,25,6,2,31,Matches
235,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27,1996,17.0,445,689,64.6,14317,11262,73,73,100.0,196,198,99.0,176,416,42.3,0,0.0,0.1,0.0,1,26,0,0,1,Matches
