,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PK_Attempted,Yellow,Red,xG,npxG,xAG,npxG+xAG,Prg_Carries,Prg_Passes,Prg_Passes_Received,Goals_per90,Assits_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Matches
385,Maximilian Breunig,de GER,FW,Freiburg,de Bundesliga,22,2000,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
386,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,23,2000,13,3,346,3.8,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,1,3,21,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12,Matches
387,Bennit Bröger,de GER,FW,Wolfsburg,de Bundesliga,17,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
388,Armando Broja,al ALB,FW,Chelsea,eng Premier League,21,2001,13,6,454,5.0,1,0,1,1,0,0,0,0,2.4,2.4,0.2,2.5,11,6,37,0.20,0.00,0.20,0.20,0.20,0.47,0.03,0.50,0.47,0.50,Matches
389,Armando Broja,al ALB,FW,Fulham,eng Premier League,21,2001,8,0,88,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,2,2,7,0.00,1.02,1.02,0.00,1.02,0.00,0.41,0.41,0.00,0.41,Matches
390,Dylan Bronn,tn TUN,"DF,MF",Salernitana,it Serie A,28,1995,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
391,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,eng Premier League,19,2003,20,12,938,10.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,18,22,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
392,David Brooks,wls WAL,"FW,MF",Bournemouth,eng Premier League,26,1997,13,2,282,3.1,1,1,2,1,0,0,1,0,2.2,2.2,1.0,3.2,8,21,27,0.32,0.32,0.64,0.32,0.64,0.70,0.33,1.03,0.70,1.03,Matches
393,John Brooks,us USA,DF,Hoffenheim,de Bundesliga,30,1993,21,18,"1,539",17.1,2,0,2,2,0,0,6,1,2.6,2.6,0.1,2.7,5,61,1,0.12,0.00,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16,Matches
394,Moritz Broschinski,de GER,FW,Bochum,de Bundesliga,22,2000,26,14,"1,247",13.9,2,3,5,2,0,0,4,0,2.4,2.4,1.8,4.1,18,10,92,0.14,0.22,0.36,0.14,0.36,0.17,0.13,0.30,0.17,0.30,Matches
395,Jacob Brown,sct SCO,"MF,FW",Luton Town,eng Premier League,25,1998,19,12,"1,019",11.3,2,0,2,2,0,0,4,0,2.8,2.8,0.7,3.4,25,19,53,0.18,0.00,0.18,0.18,0.18,0.25,0.06,0.30,0.25,0.30,Matches
396,Josh Brownhill,eng ENG,MF,Burnley,eng Premier League,27,1995,33,23,"2,252",25.0,4,2,6,4,0,0,4,1,1.9,1.9,2.1,4.0,19,90,36,0.16,0.08,0.24,0.16,0.24,0.08,0.08,0.16,0.08,0.16,Matches
397,Alexander Brunst,de GER,GK,Darmstadt 98,de Bundesliga,28,1995,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
398,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,eng Premier League,24,1998,32,16,"1,249",13.9,6,0,6,5,1,1,1,0,5.0,4.2,1.5,5.7,61,38,146,0.43,0.00,0.43,0.36,0.36,0.36,0.10,0.46,0.30,0.41,Matches
399,Tajon Buchanan,ca CAN,DF,Inter,it Serie A,24,1999,10,0,161,1.8,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.5,12,4,22,0.56,0.00,0.56,0.56,0.56,0.11,0.18,0.29,0.11,0.29,Matches
400,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,32,1991,33,29,"2,435",27.1,17,2,19,14,3,4,4,0,14.2,11.1,1.8,12.9,21,42,99,0.63,0.07,0.70,0.52,0.59,0.53,0.07,0.59,0.41,0.48,Matches
401,Hugo Bueno,es ESP,"DF,MF",Wolves,eng Premier League,20,2002,22,7,741,8.2,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.0,22,8,40,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.13,0.03,0.13,Matches
402,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,24,1998,12,9,822,9.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
403,Marius Bülter,de GER,"DF,FW",Hoffenheim,de Bundesliga,30,1993,30,15,"1,351",15.0,1,4,5,1,0,0,3,1,1.4,1.4,3.4,4.9,37,60,107,0.07,0.27,0.33,0.07,0.33,0.10,0.23,0.32,0.10,0.32,Matches
404,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,eng Premier League,18,2004,27,17,"1,364",15.2,3,1,4,3,0,0,7,0,2.4,2.4,1.8,4.2,23,42,69,0.20,0.07,0.26,0.20,0.26,0.16,0.12,0.28,0.16,0.28,Matches
405,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,24,1999,29,29,"2,527",28.1,3,0,3,3,0,0,7,0,1.6,1.6,0.1,1.7,14,62,10,0.11,0.00,0.11,0.11,0.11,0.06,0.00,0.06,0.06,0.06,Matches
406,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,de Bundesliga,23,2000,21,18,"1,538",17.1,8,2,10,7,1,1,2,0,6.1,5.3,2.1,7.4,36,28,101,0.47,0.12,0.59,0.41,0.53,0.36,0.12,0.48,0.31,0.43,Matches
407,Oliver Burke,sct SCO,FW,Werder Bremen,de Bundesliga,26,1997,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
408,Reece Burke,eng ENG,DF,Luton Town,eng Premier League,26,1996,22,20,"1,660",18.4,0,4,4,0,0,0,5,0,1.3,1.3,1.4,2.7,11,67,14,0.00,0.22,0.22,0.00,0.22,0.07,0.07,0.15,0.07,0.15,Matches
409,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,31,1992,33,32,"2,726",30.3,2,2,4,2,0,0,4,0,3.1,3.1,1.1,4.2,14,75,25,0.07,0.07,0.13,0.07,0.13,0.10,0.04,0.14,0.10,0.14,Matches
410,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,it Serie A,19,2004,1,0,8,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,11.25,11.25,0.00,11.25,0.00,0.71,0.71,0.00,0.71,Matches
411,Mason Burstow,eng ENG,FW,Chelsea,eng Premier League,19,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
412,Marnon Busch,de GER,DF,Heidenheim,de Bundesliga,28,1994,16,5,595,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,15,34,27,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
413,Maxime Busi,be BEL,"FW,DF",Reims,fr Ligue 1,23,1999,5,1,162,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,3,3,12,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21,Matches
414,Pablo Busto,es ESP,DF,Betis,es La Liga,17,2005,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.41,0.44,0.03,0.44,Matches
415,Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,de Bundesliga,26,1997,30,20,"1,744",19.4,1,1,2,1,0,0,5,0,0.5,0.5,0.7,1.2,51,90,104,0.05,0.05,0.10,0.05,0.10,0.02,0.04,0.06,0.02,0.06,Matches
416,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,23,1999,34,34,"3,060",34.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
417,Jamie Bynoe-Gittens,eng ENG,"FW,MF",Dortmund,de Bundesliga,18,2004,25,14,"1,058",11.8,1,4,5,1,0,0,1,0,2.2,2.2,2.8,5.0,64,26,105,0.09,0.34,0.43,0.09,0.43,0.19,0.24,0.43,0.19,0.43,Matches
418,Rémy Cabella,fr FRA,"FW,MF",Lille,fr Ligue 1,33,1990,30,14,"1,477",16.4,2,2,4,2,0,0,0,0,5.2,5.2,3.3,8.5,72,106,160,0.12,0.12,0.24,0.12,0.24,0.32,0.20,0.52,0.32,0.52,Matches
419,Jovane Cabral,cv CPV,"MF,FW",Salernitana,it Serie A,25,1998,12,8,678,7.5,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,22,40,39,0.13,0.00,0.13,0.13,0.13,0.15,0.06,0.21,0.15,0.21,Matches
420,Liberato Cacace,nz NZL,DF,Empoli,it Serie A,22,2000,31,18,"1,912",21.2,0,1,1,0,0,0,6,0,0.4,0.4,1.7,2.1,34,84,55,0.00,0.05,0.05,0.00,0.05,0.02,0.08,0.10,0.02,0.10,Matches
421,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,26,1997,31,29,"2,486",27.6,2,3,5,2,0,0,8,0,1.5,1.5,2.9,4.4,43,144,75,0.07,0.11,0.18,0.07,0.18,0.06,0.10,0.16,0.06,0.16,Matches
422,Moisés Caicedo,ec ECU,MF,Chelsea,eng Premier League,21,2001,35,33,"2,866",31.8,1,3,4,1,0,0,11,0,0.4,0.4,2.6,3.0,27,173,27,0.03,0.09,0.13,0.03,0.13,0.01,0.08,0.09,0.01,0.09,Matches
423,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,32,1991,34,14,"1,488",16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,35,145,72,0.06,0.24,0.30,0.06,0.30,0.07,0.14,0.20,0.07,0.20,Matches
424,Jens Cajuste,se SWE,MF,Napoli,it Serie A,23,1999,26,11,"1,016",11.3,0,2,2,0,0,0,7,0,1.5,1.5,1.1,2.5,19,37,53,0.00,0.18,0.18,0.00,0.18,0.13,0.09,0.22,0.13,0.22,Matches
425,Davide Calabria,it ITA,DF,Milan,it Serie A,26,1996,29,26,"2,185",24.3,1,3,4,1,0,0,5,2,1.3,1.3,1.2,2.5,31,140,66,0.04,0.12,0.16,0.04,0.16,0.05,0.05,0.10,0.05,0.10,Matches
426,Riccardo Calafiori,it ITA,DF,Bologna,it Serie A,21,2002,30,26,"2,349",26.1,2,5,7,2,0,0,4,0,1.4,1.4,1.2,2.6,28,96,23,0.08,0.19,0.27,0.08,0.27,0.05,0.05,0.10,0.05,0.10,Matches
427,Mattia Caldara,it ITA,DF,Milan,it Serie A,29,1994,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.58,0.58,0.58,Matches
428,Luca Caldirola,it ITA,DF,Monza,it Serie A,32,1991,29,23,"2,141",23.8,1,1,2,1,0,0,7,1,0.5,0.5,0.6,1.1,10,56,9,0.04,0.04,0.08,0.04,0.08,0.02,0.03,0.04,0.02,0.04,Matches
429,Duje Ćaleta-Car,hr CRO,DF,Lyon,fr Ligue 1,26,1996,24,22,"1,993",22.1,0,0,0,0,0,0,2,1,0.5,0.5,1.0,1.5,5,61,1,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
430,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,29,1994,32,32,"2,556",28.4,13,3,16,3,10,10,5,0,10.1,2.3,4.7,7.0,45,186,34,0.46,0.11,0.56,0.11,0.21,0.36,0.17,0.52,0.08,0.25,Matches
431,José Callejón,es ESP,"MF,FW",Granada,es La Liga,36,1987,25,7,803,8.9,0,1,1,0,0,0,2,0,1.3,1.3,1.5,2.8,10,35,50,0.00,0.11,0.11,0.00,0.11,0.15,0.17,0.32,0.15,0.32,Matches
432,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,26,1997,32,26,"2,171",24.1,7,2,9,5,2,2,2,0,12.9,11.4,3.1,14.5,36,31,122,0.29,0.08,0.37,0.21,0.29,0.54,0.13,0.66,0.47,0.60,Matches
433,Lamine Camara,sn SEN,MF,Metz,fr Ligue 1,19,2004,31,26,"2,255",25.1,1,4,5,1,0,1,3,0,2.2,1.4,3.3,4.7,23,97,69,0.04,0.16,0.20,0.04,0.20,0.09,0.13,0.22,0.06,0.19,Matches
434,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,25,1998,32,26,"2,020",22.4,7,3,10,6,1,1,7,0,4.9,4.1,3.1,7.1,37,81,129,0.31,0.13,0.45,0.27,0.40,0.22,0.14,0.35,0.18,0.32,Matches
435,Mohamed Camara,ml MLI,MF,Monaco,fr Ligue 1,23,2000,20,14,"1,035",11.5,1,2,3,0,1,1,4,0,1.5,0.7,0.6,1.3,14,76,22,0.09,0.17,0.26,0.00,0.17,0.13,0.06,0.18,0.06,0.11,Matches
436,Francesco Camarda,it ITA,FW,Milan,it Serie A,15,2008,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
437,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,20,2002,31,21,"1,817",20.2,0,2,2,0,0,0,9,0,0.9,0.9,1.4,2.3,49,106,31,0.00,0.10,0.10,0.00,0.10,0.05,0.07,0.11,0.05,0.11,Matches
438,Nicolò Cambiaghi,it ITA,"FW,MF",Empoli,it Serie A,22,2000,37,29,"2,553",28.4,1,1,2,1,0,0,3,0,3.9,3.9,2.8,6.7,128,63,197,0.04,0.04,0.07,0.04,0.07,0.14,0.10,0.24,0.14,0.24,Matches
439,Andrea Cambiaso,it ITA,"DF,FW",Juventus,it Serie A,23,2000,34,28,"2,372",26.4,2,3,5,2,0,0,10,0,2.2,2.2,3.9,6.0,87,71,172,0.08,0.11,0.19,0.08,0.19,0.08,0.15,0.23,0.08,0.23,Matches
440,Axel Camblan,fr FRA,FW,Brest,fr Ligue 1,19,2003,7,0,90,1.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,5,1,8,0.00,0.00,0.00,0.00,0.00,0.25,0.05,0.29,0.25,0.29,Matches
441,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,22,2001,31,20,"1,661",18.5,3,1,4,3,0,0,3,0,4.5,4.5,1.3,5.8,22,41,79,0.16,0.05,0.22,0.16,0.22,0.24,0.07,0.31,0.24,0.31,Matches
442,José Campaña,es ESP,MF,Las Palmas,es La Liga,30,1993,8,1,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,15,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
443,Emre Can,de GER,"MF,DF",Dortmund,de Bundesliga,29,1994,25,22,"1,953",21.7,2,2,4,0,2,2,5,0,2.2,0.6,1.5,2.0,35,110,18,0.09,0.09,0.18,0.00,0.09,0.10,0.07,0.17,0.03,0.09,Matches
444,Matteo Cancellieri,it ITA,"FW,MF",Empoli,it Serie A,21,2002,36,18,"1,788",19.9,4,3,7,4,0,0,7,0,4.7,4.7,2.9,7.6,48,26,138,0.20,0.15,0.35,0.20,0.35,0.24,0.15,0.38,0.24,0.38,Matches
445,João Cancelo,pt POR,DF,Barcelona,es La Liga,29,1994,32,29,"2,503",27.8,2,4,6,2,0,0,7,0,1.6,1.6,6.1,7.7,106,141,193,0.07,0.14,0.22,0.07,0.22,0.06,0.22,0.28,0.06,0.28,Matches
446,Fali Candé,gw GNB,DF,Metz,fr Ligue 1,25,1998,25,20,"1,849",20.5,0,1,1,0,0,0,4,0,0.8,0.8,0.5,1.3,4,38,3,0.00,0.05,0.05,0.00,0.05,0.04,0.02,0.06,0.04,0.06,Matches
447,Antonio Candreva,it ITA,"MF,FW",Salernitana,it Serie A,36,1987,34,32,"2,750",30.6,6,6,12,5,1,1,5,0,4.9,4.1,5.0,9.1,67,149,182,0.20,0.20,0.39,0.16,0.36,0.16,0.16,0.32,0.13,0.30,Matches
448,Thomas Cannon,ie IRL,FW,Everton,eng Premier League,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
449,Sergi Canós,es ESP,"MF,FW",Valencia,es La Liga,26,1997,27,15,"1,229",13.7,1,2,3,1,0,0,1,0,2.8,2.8,2.4,5.3,32,52,88,0.07,0.15,0.22,0.07,0.22,0.21,0.18,0.39,0.21,0.39,Matches
450,Luigi Canotto,it ITA,FW,Frosinone,it Serie A,29,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
451,Gino Caoki,fr FRA,MF,Lorient,fr Ligue 1,19,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
452,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,35,1988,32,15,"1,455",16.2,1,1,2,1,0,0,8,0,1.0,1.0,0.6,1.6,24,80,38,0.06,0.06,0.12,0.06,0.12,0.06,0.04,0.10,0.06,0.10,Matches
453,Gianluca Caprari,it ITA,"MF,FW",Monza,it Serie A,30,1993,6,4,285,3.2,0,0,0,0,0,0,0,0,0.7,0.7,0.7,1.4,11,15,16,0.00,0.00,0.00,0.00,0.00,0.22,0.23,0.44,0.22,0.44,Matches
454,Elia Caprile,it ITA,GK,Empoli,it Serie A,21,2001,23,23,"2,070",23.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
455,Francesco Caputo,it ITA,FW,Empoli,it Serie A,35,1987,20,15,"1,268",14.1,3,0,3,2,1,1,0,0,3.4,2.6,0.7,3.4,7,18,65,0.21,0.00,0.21,0.14,0.14,0.24,0.05,0.30,0.19,0.24,Matches
456,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,23,2000,34,34,"3,022",33.6,1,3,4,1,0,0,1,0,2.1,2.1,6.0,8.1,70,286,96,0.03,0.09,0.12,0.03,0.12,0.06,0.18,0.24,0.06,0.24,Matches
457,Andrea Carboni,it ITA,DF,Monza,it Serie A,22,2001,21,16,"1,487",16.5,1,0,1,1,0,0,1,0,1.2,1.2,0.5,1.7,13,46,22,0.06,0.00,0.06,0.06,0.06,0.07,0.03,0.10,0.07,0.10,Matches
458,Valentin Carboni,ar ARG,"MF,FW",Monza,it Serie A,18,2005,31,10,"1,169",13.0,2,3,5,2,0,0,2,0,2.3,2.3,1.7,4.0,52,57,75,0.15,0.23,0.38,0.15,0.38,0.18,0.13,0.31,0.18,0.31,Matches
459,Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,30,1993,35,29,"2,611",29.0,0,0,0,0,0,0,2,0,0.6,0.6,1.0,1.6,25,75,70,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.02,0.06,Matches
460,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,26,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
461,Irvin Cardona,fr FRA,"MF,DF",Augsburg,de Bundesliga,25,1997,3,0,54,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,2,6,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,Matches
462,Marc Cardona,es ESP,FW,Las Palmas,es La Liga,28,1995,25,6,723,8.0,4,1,5,3,1,1,4,0,4.2,3.5,1.1,4.5,10,13,74,0.50,0.12,0.62,0.37,0.50,0.52,0.13,0.65,0.42,0.55,Matches
463,Sergi Cardona,es ESP,DF,Las Palmas,es La Liga,24,1999,35,30,"2,814",31.3,1,2,3,1,0,0,11,0,2.7,2.7,2.8,5.5,60,160,165,0.03,0.06,0.10,0.03,0.10,0.09,0.09,0.18,0.09,0.18,Matches
464,Johnny Cardoso,us USA,MF,Betis,es La Liga,21,2001,17,15,"1,328",14.8,1,2,3,1,0,0,3,0,1.1,1.1,0.5,1.6,10,45,11,0.07,0.14,0.20,0.07,0.20,0.07,0.03,0.11,0.07,0.11,Matches
465,Igor Carioca,br BRA,"DF,MF",Lorient,fr Ligue 1,26,1996,5,2,262,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,6,8,16,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.10,0.01,0.10,Matches
466,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,30,1993,27,20,"1,816",20.2,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,4,59,1,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
467,Carmona,es ESP,"DF,MF",Getafe,es La Liga,21,2002,30,15,"1,313",14.6,1,1,2,1,0,0,8,0,0.8,0.8,1.0,1.8,29,39,55,0.07,0.07,0.14,0.07,0.14,0.06,0.07,0.12,0.06,0.12,Matches
468,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,23,2000,27,27,"2,425",26.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
469,Yannick Carrasco,be BEL,DF,Atlético Madrid,es La Liga,29,1993,3,3,221,2.5,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,9,6,17,0.00,0.41,0.41,0.00,0.41,0.03,0.10,0.12,0.03,0.12,Matches
470,Álvaro Carreras,es ESP,"MF,FW",Granada,es La Liga,20,2003,13,5,475,5.3,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,13,14,31,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.15,0.07,0.15,Matches
471,Rasmus Carstensen,dk DEN,"DF,FW",Köln,de Bundesliga,22,2000,23,18,"1,659",18.4,0,0,0,0,0,0,2,1,0.9,0.9,2.6,3.5,32,52,89,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.19,0.05,0.19,Matches
472,Antonin Cartillier,fr FRA,DF,Monaco,fr Ligue 1,19,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
473,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,31,1992,28,25,"2,171",24.1,4,3,7,4,0,0,5,1,1.7,1.7,2.7,4.4,30,82,168,0.17,0.12,0.29,0.17,0.29,0.07,0.11,0.18,0.07,0.18,Matches
474,Fabio Carvalho,pt POR,MF,RB Leipzig,de Bundesliga,20,2002,9,1,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,8,9,13,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.25,0.12,0.25,Matches
475,William Carvalho,pt POR,MF,Betis,es La Liga,31,1992,22,4,680,7.6,1,3,4,1,0,0,2,0,0.4,0.4,0.7,1.1,12,58,12,0.13,0.40,0.53,0.13,0.53,0.05,0.09,0.14,0.05,0.14,Matches
476,Cesare Casadei,it ITA,"FW,MF",Chelsea,eng Premier League,20,2003,11,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches
477,Marc Casado,es ESP,MF,Barcelona,es La Liga,19,2003,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
478,Nicolò Casale,it ITA,DF,Lazio,it Serie A,25,1998,20,16,"1,559",17.3,0,0,0,0,0,0,5,0,0.9,0.9,0.0,0.9,20,49,4,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
479,Casemiro,br BRA,"MF,DF",Manchester Utd,eng Premier League,31,1992,25,24,"1,982",22.0,1,2,3,1,0,0,7,0,3.5,3.5,1.0,4.5,12,112,36,0.05,0.09,0.14,0.05,0.14,0.16,0.05,0.20,0.16,0.20,Matches
480,Kaelan Casey,eng ENG,DF,West Ham,eng Premier League,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
481,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,25,1997,29,23,"2,142",23.8,2,2,4,2,0,0,8,0,4.2,4.2,2.3,6.5,62,88,101,0.08,0.08,0.17,0.08,0.17,0.18,0.10,0.27,0.18,0.27,Matches
482,Josué Casimir,fr FRA,"FW,DF",Le Havre,fr Ligue 1,21,2001,30,25,"2,016",22.4,0,5,5,0,0,0,6,0,1.9,1.9,4.3,6.3,59,62,138,0.00,0.22,0.22,0.00,0.22,0.09,0.19,0.28,0.09,0.28,Matches
483,Giuseppe Caso,it ITA,"FW,MF",Frosinone,it Serie A,24,1998,14,2,417,4.6,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,15,20,37,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Matches
484,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,23,2000,32,23,"1,946",21.6,1,3,4,1,0,0,1,0,1.1,1.1,1.7,2.8,14,87,52,0.05,0.14,0.18,0.05,0.18,0.05,0.08,0.13,0.05,0.13,Matches
485,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,27,1995,34,29,"2,634",29.3,1,3,4,1,0,0,3,0,1.6,1.6,1.9,3.5,48,77,113,0.03,0.10,0.14,0.03,0.14,0.06,0.07,0.12,0.06,0.12,Matches
486,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,31,1992,25,25,"2,250",25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
487,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,24,1998,35,16,"1,682",18.7,4,3,7,4,0,0,2,0,7.3,7.3,1.7,8.9,15,47,132,0.21,0.16,0.37,0.21,0.37,0.39,0.09,0.48,0.39,0.48,Matches
488,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,28,1995,28,28,"2,464",27.4,2,0,2,2,0,0,5,0,0.6,0.6,0.8,1.4,24,100,31,0.07,0.00,0.07,0.07,0.07,0.02,0.03,0.05,0.02,0.05,Matches
