,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Matches
122,Juan Musso,ar ARG,GK,Atalanta,it Serie A,28,1994,24,24,"2,077",23.1,27,1.17,89,64,71.9,13,4,7,7,29.2,2,2,0,0,0.0,Matches
123,Yvon Mvogo,ch SUI,GK,Lorient,fr Ligue 1,28,1994,21,21,"1,812",20.1,29,1.44,98,70,71.4,11,4,6,3,14.3,1,1,0,0,0.0,Matches
124,Keylor Navas,cr CRC,GK,Nott'ham Forest,eng Premier League,35,1986,17,17,"1,529",17.0,32,1.88,83,51,66.3,4,4,9,1,5.9,4,4,0,0,0.0,Matches
125,Neto,br BRA,GK,Bournemouth,eng Premier League,33,1989,27,27,"2,385",26.5,39,1.47,138,100,74.6,9,6,12,6,22.2,5,4,0,1,0.0,Matches
126,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,36,1986,12,12,"1,080",12.0,11,0.92,44,33,79.5,7,4,1,4,33.3,2,2,0,0,0.0,Matches
127,Alexander Nübel,de GER,GK,Monaco,fr Ligue 1,25,1996,38,38,"3,420",38.0,58,1.53,195,140,72.8,19,8,11,9,23.7,5,5,0,0,0.0,Matches
128,Ørjan Nyland,no NOR,GK,RB Leipzig,de Bundesliga,31,1990,2,2,180,2.0,2,1.00,5,4,60.0,2,0,0,1,50.0,0,0,0,0,,Matches
129,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,29,1993,28,28,"2,492",27.7,20,0.72,79,59,75.9,17,5,6,11,39.3,2,1,0,1,0.0,Matches
130,Guillermo Ochoa,mx MEX,GK,Salernitana,it Serie A,37,1985,20,20,"1,800",20.0,33,1.65,105,71,71.4,4,10,6,4,20.0,4,3,1,0,25.0,Matches
131,Robin Olsen,se SWE,GK,Aston Villa,eng Premier League,32,1990,4,2,281,3.1,8,2.56,19,11,63.2,1,0,1,1,50.0,1,1,0,0,0.0,Matches
132,Jonas Omlin,ch SUI,GK,Montpellier,fr Ligue 1,28,1994,14,14,"1,166",13.0,26,2.01,73,48,68.5,5,1,8,2,14.3,4,3,1,0,25.0,Matches
133,Jonas Omlin,ch SUI,GK,M'Gladbach,de Bundesliga,28,1994,15,15,"1,290",14.3,18,1.26,56,38,71.4,5,4,6,5,33.3,2,2,0,0,0.0,Matches
134,André Onana,cm CMR,GK,Inter,it Serie A,26,1996,24,24,"2,160",24.0,24,1.00,83,61,73.5,14,3,7,8,33.3,2,2,0,0,0.0,Matches
135,Stefan Ortega,de GER,GK,Manchester City,eng Premier League,29,1992,3,3,270,3.0,1,0.33,15,14,93.3,2,1,0,2,66.7,0,0,0,0,,Matches
136,Fernando Pacheco,es ESP,GK,Almería,es La Liga,30,1992,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches
