,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked,Matches
844,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,30,1992,16.4,557,474,80,15,0,7,127,7,58,29,17,1,356,3,24,Matches
845,Adri Embarba,es ESP,FW,Espanyol,es La Liga,30,1992,0.4,6,5,1,1,0,0,2,0,0,0,0,0,4,0,0,Matches
846,Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,25,1997,20.7,448,424,16,1,3,3,4,1,0,0,0,0,307,8,21,Matches
847,Emerson,br BRA,DF,Tottenham,eng Premier League,23,1999,19.3,1060,884,170,23,2,6,46,146,1,0,0,0,848,6,37,Matches
848,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,25,1997,18.5,241,204,35,0,1,2,4,2,0,0,0,0,156,2,5,Matches
849,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,29,1993,32.5,1477,1448,24,20,7,10,7,4,0,0,0,0,1170,5,31,Matches
850,Arne Engels,be BEL,MF,Augsburg,de Bundesliga,18,2003,16.0,619,507,108,39,2,8,101,5,64,29,33,1,397,4,24,Matches
851,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,30,1992,22.8,1485,1373,106,32,9,20,81,7,62,27,16,2,1203,6,28,Matches
852,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,24,1998,25.9,1295,1236,57,53,2,20,2,4,0,0,0,0,1111,2,8,Matches
853,Tjark Ernst,de GER,GK,Hertha BSC,de Bundesliga,19,2003,1.0,35,19,16,3,0,1,0,0,0,0,0,0,26,0,0,Matches
854,Gonzalo Escalante,ar ARG,MF,Cremonese,it Serie A,29,1993,6.2,290,279,8,4,0,1,1,0,0,0,0,0,222,3,8,Matches
855,Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,29,1993,12.5,433,419,11,6,2,4,4,0,0,0,0,0,325,3,4,Matches
856,Sergio Escudero,es ESP,DF,Valladolid,es La Liga,32,1989,16.0,743,548,189,23,0,6,56,147,19,5,13,0,528,6,23,Matches
857,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,30,1992,34.7,1542,1206,328,40,4,15,110,280,8,1,5,0,989,8,53,Matches
858,Bernardo Espinosa,co COL,DF,Girona,es La Liga,33,1989,13.6,913,881,30,26,0,5,0,2,0,0,0,0,812,2,2,Matches
859,Salvatore Esposito,it ITA,MF,Spezia,it Serie A,21,2000,10.8,653,570,81,41,1,9,54,1,39,25,10,0,500,2,12,Matches
860,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,20,2002,18.3,748,712,35,30,0,0,1,4,0,0,0,0,609,1,8,Matches
861,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,24,1998,29.7,1926,1687,234,31,5,8,101,199,4,0,3,0,1576,5,57,Matches
862,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,34,1988,11.7,789,764,24,23,0,2,0,1,0,0,0,0,690,1,4,Matches
863,Edu Expósito,es ESP,MF,Espanyol,es La Liga,25,1996,12.9,530,479,49,21,3,5,48,2,13,6,3,0,389,2,10,Matches
864,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,24,1998,29.3,1178,1019,149,70,11,5,78,7,51,22,12,1,923,10,15,Matches
865,Kimberly Ezekwem,de GER,DF,Freiburg,de Bundesliga,21,2001,0.1,8,7,1,0,0,0,0,1,0,0,0,0,6,0,0,Matches
866,Nicolás Ezequiel Fernández,ar ARG,"MF,DF",Elche,es La Liga,22,2000,5.7,240,203,37,5,1,3,33,23,9,3,5,0,178,0,13,Matches
867,Abdessamad Ezzalzouli,ma MAR,"FW,MF",Osasuna,es La Liga,20,2001,16.7,549,516,26,3,3,5,76,16,7,1,2,0,365,7,33,Matches
868,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,37,1985,34.6,930,587,339,90,0,2,0,0,0,0,0,0,598,4,0,Matches
869,Fabinho,br BRA,MF,Liverpool,eng Premier League,28,1993,29.7,1832,1789,38,31,5,6,5,7,0,0,0,0,1617,5,18,Matches
870,Fábio,br BRA,"DF,MF",Nantes,fr Ligue 1,32,1990,2.5,117,94,21,1,0,0,6,20,0,0,0,0,87,2,2,Matches
871,Noah Fadiga,sn SEN,DF,Brest,fr Ligue 1,22,1999,14.5,625,504,120,8,0,1,10,112,0,0,0,0,499,1,14,Matches
872,Wout Faes,be BEL,DF,Leicester City,eng Premier League,24,1998,31.0,1846,1789,54,48,2,9,0,1,0,0,0,0,1581,3,10,Matches
873,Wout Faes,be BEL,DF,Reims,fr Ligue 1,24,1998,3.0,115,106,8,7,1,0,0,0,0,0,0,0,95,1,1,Matches
