,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Seasons at top 5,Seasons in PL,Seasons in Liga,Seasons in Serie A,Seasons in Ligue 1,Seasons in Bundesliga
1928,2335,Amine Salama,fr FRA,"FW,MF",Angers,fr Ligue 1,22,2000,25,12,1249,13.9,0.22,0.29,0.22,0.29,0.22,0.33,0.22,0.33,56.0,22.0,39.3,31.0,55.4,34.82,0.43,3.67,16.69,15.47,3.45,34.82,4.03,1.58,2.23,25.9,198.27,76.26,2.52,1.37,1.15,3.45,1.37,25.25,6.76,1.94,0.07,1.29,0.0,0.29,0.22,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,236.0,321.0,73.5,3246.0,780.0,133.0,171.0,77.8,72.0,99.0,72.7,8.0,11.0,72.7,0.07,0.11,0.14,-0.04,0.65,1.22,0.86,0.14,1.51,23.09,21.8,1.15,0.0,0.14,0.0,0.86,0.0,0.0,0.0,0.0,0.0,16.98,0.14,0.72,1.8,0.79,0.12,0.27,0.12,0.0,0.0,29.6,0.07,0.0,0.0,0.5,0.65,0.43,0.72,0.65,0.0,0.0,3.67,0.58,1.37,1,0,0,0,1,0
1935,2342,Lazar Samardzic,rs SRB,MF,Udinese,it Serie A,20,2002,37,19,1848,20.5,0.24,0.44,0.24,0.44,0.12,0.3,0.12,0.3,64.0,28.0,43.8,34.0,53.1,53.56,0.98,7.8,27.9,18.59,1.85,53.56,3.12,1.37,1.66,30.2,174.39,76.49,1.66,1.61,0.34,1.41,0.98,34.93,3.17,4.77,0.49,2.63,1.32,0.29,0.34,0.05,0.15,0.2,0.15,0.0,0.05,0.0,0.1,715.0,893.0,80.1,13984.0,4303.0,295.0,332.0,88.9,266.0,308.0,86.4,130.0,206.0,63.1,0.2,0.18,0.14,0.01,2.34,4.0,1.02,0.29,4.88,43.56,37.66,5.76,2.34,0.15,1.12,4.49,0.24,3.02,1.61,0.83,0.0,34.88,0.15,0.83,2.44,0.88,0.1,0.28,0.05,2.6,2.6,29.0,0.05,0.0,0.0,1.27,0.63,0.0,0.54,0.78,0.0,0.0,5.22,0.44,1.07,1,0,0,1,0,0
1939,2349,Samuel,br BRA,"FW,MF",Valencia,es La Liga,22,1999,38,33,2887,32.1,0.19,0.22,0.19,0.22,0.24,0.31,0.24,0.31,121.0,53.0,43.8,50.0,41.3,50.19,0.47,5.55,18.13,27.45,5.05,50.19,3.77,1.65,1.56,33.43,222.06,125.42,4.49,3.12,1.87,2.65,1.78,36.29,8.1,3.09,0.44,1.96,0.03,0.5,0.22,0.34,0.03,0.25,0.0,0.03,0.09,0.06,0.0,878.0,1163.0,75.5,12024.0,2590.0,538.0,613.0,87.8,256.0,342.0,74.9,36.0,77.0,46.8,0.03,0.07,0.12,-0.03,0.84,1.43,0.93,0.22,2.9,36.23,34.92,1.15,0.16,0.16,0.06,2.55,0.69,0.31,0.03,0.06,0.0,27.35,0.16,1.78,2.99,1.03,0.06,0.18,0.08,-1.8,-1.7,29.3,0.12,0.0,0.0,1.09,1.87,0.47,0.56,1.34,0.06,0.0,5.3,0.53,1.28,1,0,1,0,0,0
1948,2358,Iván Sánchez,es ESP,"MF,FW",Valladolid,es La Liga,29,1992,25,13,1154,12.8,0.08,0.16,0.08,0.16,0.06,0.19,0.06,0.19,63.0,36.0,57.1,16.0,25.4,48.12,0.7,7.73,22.81,18.83,2.03,48.12,4.92,2.81,1.25,35.08,282.11,154.22,4.53,2.42,0.94,1.64,1.17,36.88,4.77,3.38,0.16,2.42,0.31,0.31,0.16,0.08,0.0,0.08,0.08,0.0,0.0,0.0,0.0,381.0,480.0,79.4,6282.0,1895.0,175.0,201.0,87.1,160.0,183.0,87.4,29.0,53.0,54.7,0.08,0.12,0.13,-0.05,1.33,2.81,1.25,0.62,5.08,37.5,35.94,1.17,0.23,0.08,0.78,2.97,0.16,0.47,0.23,0.08,0.08,29.77,0.39,1.25,1.33,0.55,0.06,0.14,0.05,0.2,0.2,14.3,0.0,0.0,0.0,0.7,3.36,0.08,0.62,1.09,0.0,0.0,4.84,0.16,0.94,1,0,1,0,0,0
1958,2373,Muhammed Saracevic Cham,at AUT,MF,Clermont Foot,fr Ligue 1,21,2000,38,23,1968,21.9,0.32,0.5,0.23,0.41,0.27,0.41,0.2,0.34,65.0,31.0,47.7,26.0,40.0,57.9,0.55,6.76,28.04,24.06,2.79,57.81,2.97,1.42,1.19,46.12,279.68,132.19,3.24,3.38,0.5,1.78,2.56,44.16,5.48,3.11,0.32,2.24,0.37,0.09,0.23,0.18,0.0,0.27,0.0,0.05,0.0,0.0,0.0,813.0,1038.0,78.3,12971.0,3167.0,409.0,479.0,85.4,288.0,345.0,83.5,71.0,130.0,54.6,0.18,0.14,0.19,0.04,1.42,2.83,1.6,0.14,4.84,47.4,42.97,4.06,1.6,0.5,0.09,3.33,0.32,1.96,1.14,0.46,0.05,37.12,0.37,1.32,2.33,0.87,0.1,0.26,0.09,1.0,0.6,31.6,0.09,0.0,0.0,0.78,1.83,0.05,0.32,0.68,0.0,0.05,4.84,0.27,0.59,1,0,0,0,1,0
1969,2385,Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,18,2003,32,29,2335,25.9,0.08,0.15,0.08,0.15,0.08,0.09,0.08,0.09,26.0,12.0,46.2,11.0,42.3,68.03,4.79,26.53,33.24,8.73,1.24,68.03,1.0,0.46,0.42,35.41,137.14,76.8,0.85,0.85,0.23,0.77,0.31,44.25,1.31,1.27,0.19,1.12,0.04,0.08,0.0,0.0,0.04,0.19,0.0,0.0,0.0,0.0,0.0,1205.0,1486.0,81.1,19877.0,8249.0,613.0,687.0,89.2,476.0,545.0,87.3,90.0,184.0,48.9,0.08,0.02,0.03,0.06,0.35,5.14,0.54,0.08,6.1,57.37,55.71,1.54,1.12,0.04,0.81,0.31,0.42,0.0,0.0,0.0,0.0,46.53,0.12,0.77,0.66,0.15,0.12,0.5,0.12,0.0,0.0,57.0,0.27,0.0,0.0,2.12,0.23,0.23,2.16,1.12,0.0,0.0,6.91,1.89,1.43,1,0,0,1,0,0
1976,2394,Kingsley Schindler,gh GHA,"DF,MF",Köln,de Bundesliga,29,1993,29,8,1088,12.1,0.0,0.08,0.0,0.08,0.18,0.24,0.18,0.24,22.0,8.0,36.4,11.0,50.0,57.77,3.06,13.64,25.21,19.34,2.07,57.77,1.82,0.66,0.91,28.51,135.7,56.53,1.65,1.16,0.41,2.23,1.24,31.57,6.2,2.24,0.33,1.65,0.17,0.0,0.25,0.17,0.0,0.17,0.08,0.0,0.08,0.0,0.0,352.0,546.0,64.5,6455.0,2445.0,133.0,169.0,78.7,173.0,243.0,71.2,37.0,86.0,43.0,0.08,0.06,0.06,0.02,0.83,2.48,0.99,0.25,4.13,45.12,36.2,8.76,0.33,0.0,0.08,3.72,8.18,0.25,0.08,0.08,0.0,29.09,0.17,2.31,0.91,0.33,0.0,0.0,0.2,-2.2,-2.2,68.6,0.33,0.0,0.0,0.91,0.99,0.17,1.24,0.99,0.0,0.0,5.45,1.98,0.91,1,0,0,0,0,1
1983,2404,Niklas Schmidt,de GER,MF,Werder Bremen,de Bundesliga,24,1998,24,11,1087,12.1,0.25,0.25,0.25,0.25,0.14,0.24,0.14,0.24,46.0,33.0,71.7,10.0,21.7,59.34,1.57,9.34,36.45,14.96,1.57,59.34,3.8,2.73,0.83,35.7,191.9,88.68,2.15,1.82,0.33,1.4,1.07,40.0,4.05,4.14,0.25,3.22,0.08,0.33,0.25,0.25,0.0,0.08,0.0,0.0,0.08,0.08,0.0,446.0,601.0,74.2,8908.0,2732.0,187.0,222.0,84.2,170.0,214.0,79.4,82.0,125.0,65.6,0.0,0.11,0.14,-0.11,1.32,5.29,2.07,0.41,5.29,49.67,47.69,1.9,0.74,0.17,1.49,2.56,0.66,0.41,0.08,0.17,0.0,36.86,0.08,1.74,1.74,0.75,0.14,0.33,0.08,1.4,1.4,50.0,0.25,0.0,0.0,1.65,1.16,0.0,0.41,0.83,0.0,0.0,8.35,1.07,1.07,1,0,0,0,0,1
1986,2407,Perr Schuurs,nl NED,DF,Torino,it Serie A,22,1999,30,28,2326,25.8,0.0,0.08,0.0,0.08,0.04,0.07,0.04,0.07,14.0,10.0,71.4,3.0,21.4,57.33,5.62,29.42,26.01,2.6,0.66,57.33,0.54,0.39,0.12,29.77,144.57,70.23,0.54,0.62,0.04,0.81,0.27,31.55,0.08,0.77,0.08,0.54,0.0,0.12,0.04,0.04,0.04,0.08,0.0,0.0,0.0,0.0,0.0,1058.0,1201.0,88.1,20819.0,6259.0,320.0,358.0,89.4,622.0,671.0,92.7,108.0,142.0,76.1,0.08,0.03,0.03,0.04,0.27,1.36,0.12,0.0,2.17,46.55,45.16,1.4,1.2,0.0,0.04,0.08,0.19,0.0,0.0,0.0,0.0,41.01,0.0,0.27,0.54,0.04,0.0,0.0,0.07,-0.9,-0.9,55.0,0.19,0.0,0.0,1.2,0.12,0.08,1.09,0.97,0.0,0.04,6.86,2.33,1.9,1,0,0,1,0,0
1998,2424,Marcos Senesi,ar ARG,DF,Bournemouth,eng Premier League,25,1997,31,29,2491,27.7,0.07,0.07,0.07,0.07,0.06,0.08,0.06,0.08,13.0,8.0,61.5,4.0,30.8,59.46,12.27,37.44,20.51,2.06,0.58,59.46,0.47,0.29,0.14,33.54,158.23,86.14,0.32,0.43,0.04,0.54,0.14,35.49,0.11,0.58,0.11,0.51,0.04,0.0,0.04,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,1064.0,1322.0,80.5,21380.0,9358.0,360.0,399.0,90.2,551.0,625.0,88.2,137.0,245.0,55.9,0.0,0.02,0.01,-0.02,0.18,3.1,0.14,0.04,2.38,47.73,45.38,2.02,1.44,0.04,0.54,0.29,0.51,0.0,0.0,0.0,0.0,38.41,0.32,0.65,0.29,0.07,0.25,1.0,0.2,0.4,0.4,54.2,0.25,0.0,0.0,1.05,0.47,0.0,1.55,1.26,0.0,0.07,6.06,0.94,0.79,1,1,0,0,0,0
2002,2429,Leonardo Sernicola,it ITA,DF,Cremonese,it Serie A,25,1997,32,27,2317,25.7,0.08,0.16,0.08,0.16,0.05,0.14,0.05,0.14,57.0,24.0,42.1,22.0,38.6,47.47,2.61,13.7,19.38,15.06,0.93,47.47,2.22,0.93,0.86,23.04,144.59,79.57,2.33,1.75,0.19,1.09,0.82,23.74,3.7,2.14,0.16,1.56,0.19,0.04,0.12,0.19,0.04,0.12,0.0,0.0,0.0,0.04,0.0,615.0,945.0,65.1,10638.0,4546.0,293.0,352.0,83.2,239.0,389.0,61.4,64.0,143.0,44.8,0.08,0.09,0.09,-0.01,0.97,1.95,1.13,0.82,2.41,36.77,28.68,7.9,0.47,0.08,0.23,4.59,6.96,0.47,0.0,0.43,0.0,23.93,0.19,0.97,0.97,0.19,0.08,0.4,0.05,0.7,0.7,58.0,0.43,0.0,0.0,1.56,1.67,0.12,1.48,1.28,0.0,0.04,5.29,1.13,0.82,1,0,0,1,0,0
2009,2440,Kiliann Sildillia,fr FRA,"DF,MF",Freiburg,de Bundesliga,20,2002,27,23,1977,22.0,0.0,0.09,0.0,0.09,0.04,0.07,0.04,0.07,27.0,12.0,44.4,14.0,51.9,59.36,3.05,15.32,32.09,12.32,0.82,59.36,1.23,0.55,0.64,29.55,143.59,70.27,0.91,1.09,0.09,0.95,0.68,31.5,2.14,1.28,0.23,0.73,0.36,0.05,0.05,0.09,0.0,0.09,0.05,0.05,0.05,0.0,0.0,787.0,1103.0,71.4,14814.0,5194.0,316.0,402.0,78.6,333.0,448.0,74.3,118.0,183.0,64.5,0.09,0.03,0.06,0.06,0.45,3.14,0.41,0.18,3.68,50.14,40.59,9.41,0.91,0.05,0.23,1.18,8.5,0.0,0.0,0.0,0.0,35.77,0.14,1.18,0.46,0.0,0.0,0.0,0.08,-0.8,-0.8,49.4,0.18,0.05,0.05,1.73,0.27,0.09,0.95,0.91,0.0,0.0,4.86,1.91,1.95,1,0,0,0,0,1
2015,2448,Abdallah Sima,sn SEN,FW,Angers,fr Ligue 1,21,2001,34,19,1836,20.4,0.25,0.29,0.25,0.29,0.24,0.34,0.24,0.34,50.0,21.0,42.0,25.0,50.0,28.87,1.13,2.65,13.28,13.77,3.82,28.87,2.45,1.03,1.23,19.8,139.95,44.85,1.86,1.23,0.83,2.94,1.52,20.78,6.86,1.67,0.34,1.18,0.0,0.05,0.2,0.25,0.0,0.1,0.0,0.05,0.05,0.15,0.0,274.0,374.0,73.3,3603.0,688.0,142.0,182.0,78.0,84.0,116.0,72.4,8.0,17.0,47.1,0.05,0.11,0.06,-0.06,0.78,0.88,0.29,0.05,1.03,18.33,16.37,1.91,0.0,0.05,0.05,0.78,0.29,0.0,0.0,0.0,0.0,13.43,0.05,0.74,1.91,0.49,0.13,0.5,0.12,0.2,0.2,40.6,0.0,0.0,0.0,1.57,1.18,0.59,0.2,0.64,0.05,0.05,2.55,2.11,3.09,1,0,0,0,1,0
2020,2454,Lassine Sinayoko,ml MLI,"MF,FW",Auxerre,fr Ligue 1,22,1999,33,16,1570,17.4,0.06,0.17,0.06,0.17,0.18,0.34,0.18,0.34,60.0,28.0,46.7,24.0,40.0,45.23,1.55,7.18,18.91,20.4,4.37,45.23,3.45,1.61,1.38,33.28,226.55,102.47,2.82,1.9,1.26,2.41,1.9,29.89,8.62,3.49,0.4,2.41,0.0,0.23,0.52,0.29,0.06,0.17,0.0,0.0,0.11,0.11,0.0,413.0,555.0,74.4,5950.0,1763.0,235.0,298.0,78.9,124.0,165.0,75.2,26.0,43.0,60.5,0.11,0.16,0.1,-0.04,1.32,2.18,1.61,0.34,4.25,31.9,31.61,0.29,0.0,0.06,0.29,1.72,0.17,0.0,0.0,0.0,0.0,23.74,0.0,1.09,2.41,0.75,0.02,0.08,0.08,-2.2,-2.2,36.1,0.11,0.06,0.06,1.78,1.26,0.29,1.03,0.86,0.06,0.0,6.44,1.26,2.24,1,0,0,0,1,0
2033,2472,Islam Slimani,dz ALG,FW,Brest,fr Ligue 1,34,1988,16,11,986,11.0,0.09,0.18,0.09,0.18,0.23,0.33,0.16,0.26,13.0,4.0,30.8,8.0,61.5,42.45,1.18,2.73,24.45,15.45,4.09,42.36,1.18,0.36,0.73,32.45,140.55,42.45,1.0,1.0,0.18,3.27,1.55,34.27,5.55,2.1,0.27,2.0,0.0,0.0,0.09,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,261.0,367.0,71.1,3733.0,663.0,143.0,192.0,74.5,87.0,117.0,74.4,13.0,21.0,61.9,0.09,0.11,0.14,-0.02,1.18,2.0,0.36,0.0,2.36,33.36,31.55,1.82,0.27,0.36,0.09,0.82,0.09,0.0,0.0,0.0,0.0,23.73,0.0,1.09,1.28,0.18,0.07,0.5,0.12,-1.5,-0.7,46.8,0.45,0.0,0.0,1.64,1.27,0.91,0.09,0.27,0.0,0.0,1.45,2.0,2.27,1,0,0,0,1,0
2035,2474,Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,31,1991,37,34,2943,32.7,0.0,0.03,0.0,0.03,0.02,0.05,0.02,0.05,30.0,6.0,20.0,17.0,56.7,46.7,3.43,18.41,19.88,9.05,0.52,46.7,0.92,0.18,0.52,19.79,84.46,41.83,0.86,0.64,0.09,0.64,0.12,23.58,1.65,0.89,0.06,0.76,0.03,0.0,0.06,0.0,0.03,0.06,0.0,0.0,0.0,0.0,0.0,953.0,1264.0,75.4,16233.0,6898.0,450.0,513.0,87.7,398.0,501.0,79.4,88.0,194.0,45.4,0.03,0.04,0.05,-0.01,0.49,2.14,0.86,0.58,2.54,38.65,30.18,8.44,0.67,0.0,0.06,1.47,7.77,0.0,0.0,0.0,0.0,29.14,0.03,0.89,0.15,0.03,0.0,0.0,0.1,-0.5,-0.5,43.3,0.34,0.0,0.0,0.89,0.83,0.0,0.76,0.89,0.0,0.03,3.91,0.89,1.16,1,1,0,0,0,0
2042,2483,Dominic Solanke,eng ENG,"FW,MF",Bournemouth,eng Premier League,24,1997,33,32,2860,31.8,0.19,0.41,0.19,0.41,0.29,0.41,0.29,0.41,110.0,45.0,40.9,54.0,49.1,31.82,1.7,4.94,13.3,14.28,5.0,31.82,3.46,1.42,1.7,20.03,140.85,54.18,2.2,1.26,1.13,4.21,2.33,22.96,5.25,1.92,0.41,1.13,0.03,0.35,0.31,0.06,0.03,0.31,0.03,0.0,0.06,0.0,0.0,363.0,533.0,68.1,4673.0,1106.0,225.0,294.0,76.5,101.0,135.0,74.8,14.0,24.0,58.3,0.22,0.12,0.08,0.1,0.66,0.69,0.53,0.03,1.48,16.76,15.06,1.64,0.0,0.09,0.03,0.41,0.13,0.0,0.0,0.0,0.0,11.42,0.06,1.07,2.39,0.88,0.08,0.21,0.12,-3.1,-3.1,34.7,0.06,0.0,0.0,1.26,1.67,0.35,0.19,0.28,0.0,0.0,2.74,1.64,3.08,1,1,0,0,0,0
2060,2509,Harry Souttar,au AUS,DF,Leicester City,eng Premier League,23,1998,12,11,992,11.0,0.0,0.09,0.0,0.09,0.13,0.15,0.13,0.15,5.0,3.0,60.0,0.0,0.0,60.27,9.45,33.18,25.64,1.82,1.36,60.27,0.45,0.27,0.0,35.45,170.73,86.18,0.55,0.18,0.09,0.27,0.0,38.18,0.36,0.73,0.18,0.36,0.0,0.18,0.18,0.0,0.0,0.09,0.0,0.0,0.09,0.0,0.0,448.0,555.0,80.7,8500.0,3295.0,145.0,160.0,90.6,265.0,303.0,87.5,34.0,76.0,44.7,0.09,0.02,0.01,0.07,0.27,3.55,0.09,0.0,2.64,50.45,48.27,1.73,1.55,0.09,0.82,0.0,0.18,0.0,0.0,0.0,0.0,40.73,0.45,0.27,0.73,0.09,0.0,0.0,0.18,-1.4,-1.4,86.4,0.18,0.0,0.0,0.45,0.45,0.09,1.09,0.82,0.0,0.0,4.09,3.45,0.55,1,1,0,0,0,0
2061,2510,Vinicius Souza,br BRA,MF,Espanyol,es La Liga,23,1999,34,27,2428,27.0,0.04,0.07,0.04,0.07,0.03,0.05,0.03,0.05,19.0,10.0,52.6,7.0,36.8,46.0,2.93,12.48,27.63,6.07,0.74,46.0,0.7,0.37,0.26,20.11,94.52,36.0,0.48,0.41,0.07,1.11,0.48,22.74,0.52,1.22,0.11,0.93,0.0,0.07,0.07,0.07,0.07,0.11,0.0,0.0,0.0,0.0,0.0,726.0,909.0,79.9,12361.0,3394.0,343.0,396.0,86.6,295.0,353.0,83.6,66.0,106.0,62.3,0.04,0.02,0.03,0.01,0.41,3.15,0.15,0.04,3.04,33.67,32.78,0.89,0.85,0.0,0.33,0.15,0.0,0.0,0.0,0.0,0.0,26.89,0.0,0.59,0.37,0.15,0.1,0.25,0.08,0.2,0.2,53.3,0.37,0.04,0.04,2.41,1.41,0.0,1.78,2.44,0.0,0.07,5.59,2.67,2.33,1,0,1,0,0,0
2064,2513,Kevin Spadanuda,ch SUI,"MF,FW",Ajaccio,fr Ligue 1,25,1997,22,13,1063,11.8,0.0,0.08,0.0,0.08,0.06,0.11,0.06,0.11,44.0,23.0,52.3,17.0,38.6,34.32,1.02,6.27,14.58,14.15,2.29,34.32,3.73,1.95,1.44,23.73,167.03,64.24,1.44,1.02,0.68,2.46,1.78,20.93,4.75,1.18,0.08,0.85,0.0,0.0,0.17,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.08,212.0,264.0,80.3,3060.0,542.0,116.0,141.0,82.3,78.0,93.0,83.9,8.0,14.0,57.1,0.08,0.05,0.03,0.03,0.68,1.27,0.17,0.0,1.44,22.37,21.27,1.1,0.08,0.0,0.08,0.42,0.93,0.0,0.0,0.0,0.0,17.97,0.0,0.42,0.59,0.08,0.0,0.0,0.1,-0.7,-0.7,21.7,0.25,0.0,0.0,1.69,1.78,0.08,0.93,1.53,0.0,0.0,5.51,0.42,1.53,1,0,0,0,1,0
2065,2516,Stijn Spierings,nl NED,MF,Toulouse,fr Ligue 1,26,1996,36,35,3120,34.7,0.06,0.06,0.06,0.06,0.05,0.11,0.05,0.11,40.0,16.0,40.0,13.0,32.5,69.97,2.77,16.77,44.15,9.8,0.58,69.97,1.15,0.46,0.37,53.11,249.42,108.33,0.89,1.18,0.12,0.78,0.72,46.57,0.86,1.73,0.17,1.38,0.0,0.06,0.09,0.09,0.12,0.12,0.0,0.03,0.0,0.03,0.0,1778.0,2085.0,85.3,32238.0,10001.0,781.0,875.0,89.3,730.0,809.0,90.2,210.0,298.0,70.5,0.0,0.06,0.05,-0.06,0.63,5.53,0.63,0.14,6.66,60.09,57.78,2.16,1.96,0.03,1.01,0.61,0.2,0.0,0.0,0.0,0.0,51.24,0.14,1.15,0.69,0.14,0.08,0.4,0.07,0.2,0.2,50.0,0.17,0.0,0.0,1.59,1.44,0.0,1.53,1.93,0.03,0.03,9.68,0.58,0.58,1,0,0,0,1,0
2070,2522,Jens Stage,dk DEN,MF,Werder Bremen,de Bundesliga,25,1996,32,21,1855,20.6,0.15,0.29,0.15,0.29,0.15,0.24,0.15,0.24,16.0,9.0,56.3,5.0,31.3,40.49,2.28,9.71,20.83,10.34,2.77,40.49,0.78,0.44,0.24,17.86,73.93,31.8,0.92,0.83,0.29,1.21,0.53,23.54,2.67,1.51,0.29,1.41,0.0,0.0,0.0,0.05,0.05,0.29,0.0,0.0,0.0,0.0,0.0,412.0,622.0,66.2,6130.0,2060.0,236.0,307.0,76.9,142.0,196.0,72.4,19.0,51.0,37.3,0.15,0.09,0.13,0.06,0.78,1.65,0.97,0.15,2.96,30.19,29.56,0.24,0.1,0.1,0.29,0.63,0.0,0.0,0.0,0.0,0.0,20.0,0.39,1.31,0.92,0.34,0.16,0.43,0.16,-0.1,-0.1,53.6,0.24,0.0,0.0,1.55,0.92,0.0,0.78,0.83,0.0,0.0,4.61,2.52,2.18,1,0,0,0,0,1
2081,2536,Kevin Stöger,at AUT,MF,Bochum,de Bundesliga,28,1993,32,29,2599,28.9,0.17,0.28,0.07,0.17,0.15,0.35,0.07,0.27,52.0,22.0,42.3,21.0,40.4,66.33,1.11,9.72,37.4,19.76,1.28,66.23,1.8,0.76,0.73,31.18,150.14,71.14,1.49,1.38,0.1,1.49,1.21,39.24,3.39,4.78,0.38,2.8,1.38,0.1,0.17,0.24,0.07,0.28,0.07,0.0,0.0,0.03,0.0,1114.0,1607.0,69.3,20465.0,7740.0,504.0,609.0,82.8,414.0,570.0,72.6,163.0,321.0,50.8,0.1,0.2,0.27,-0.09,2.35,5.29,1.59,0.38,7.4,55.61,46.75,8.37,3.43,0.31,0.28,5.4,0.62,2.94,1.28,1.28,0.03,38.55,0.48,1.25,1.56,0.38,0.04,0.18,0.05,0.6,-0.1,20.8,0.1,0.0,0.0,1.42,1.87,0.0,0.9,1.56,0.0,0.0,6.26,0.38,1.45,1,0,0,0,0,1
2084,2539,Jørgen Strand Larsen,no NOR,FW,Celta Vigo,es La Liga,22,2000,32,20,1705,18.9,0.21,0.42,0.21,0.42,0.3,0.4,0.3,0.4,31.0,14.0,45.2,15.0,48.4,30.48,1.53,2.96,14.66,13.12,4.44,30.48,1.64,0.74,0.79,18.41,70.21,24.34,0.9,0.32,0.48,3.92,1.27,23.17,3.86,1.53,0.37,1.11,0.0,0.05,0.11,0.21,0.05,0.32,0.0,0.05,0.0,0.0,0.0,232.0,339.0,68.4,3020.0,423.0,139.0,192.0,72.4,53.0,80.0,66.3,12.0,19.0,63.2,0.21,0.11,0.06,0.11,0.63,0.74,0.16,0.05,0.74,17.94,16.4,1.43,0.16,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,12.28,0.11,0.16,2.16,0.79,0.1,0.27,0.14,-1.6,-1.6,47.2,0.21,0.0,0.0,1.8,2.28,0.69,0.16,0.37,0.05,0.0,2.22,2.22,2.49,1,0,1,0,0,0
2086,2541,Gabriel Strefezza,br BRA,"FW,MF",Lecce,it Serie A,25,1997,35,30,2442,27.1,0.29,0.44,0.22,0.37,0.23,0.39,0.14,0.3,92.0,36.0,39.1,42.0,45.7,47.42,0.52,4.83,19.59,23.91,2.51,47.31,3.39,1.33,1.55,30.96,184.65,82.95,2.66,2.14,0.7,3.03,2.55,34.5,6.53,3.72,0.29,2.84,0.22,0.3,0.22,0.11,0.04,0.3,0.0,0.0,0.0,0.0,0.0,553.0,886.0,62.4,9963.0,3082.0,278.0,353.0,78.8,170.0,258.0,65.9,87.0,196.0,44.4,0.15,0.16,0.14,-0.01,1.77,2.36,1.59,0.63,3.95,32.69,29.7,2.62,0.7,0.22,0.85,4.46,0.63,1.29,0.55,0.37,0.0,20.41,0.37,1.33,2.51,0.66,0.09,0.33,0.06,1.8,2.1,26.2,0.18,0.0,0.0,1.88,2.62,0.0,0.59,0.89,0.0,0.04,4.94,0.59,1.66,1,0,0,1,0,0
